review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752210310,https://www.tripadvisor.com/Hotel_Review-g14129743-d634263-Reviews-The_Ritz_Carlton_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,"The Ritz-Carlton, Tokyo","April 3, 2020","Great and luxurious hotel in the heart of the chaos of Tokyo, the transition from outside to the top floor of the building where the hotel is located is relaxing in itself. Luxurious facilities as expected, especially with the pool and the main lobby area. Staff are really incredible which is consistent with most hotels in Japan. A great way to spend a special couple of days in the city, although book if you're not too busy since you'll enjoy the hotel too much.","Dubai, United Arab Emirates","Ontouraj</div><div class=""userLoc""><strong>Dubai, United Arab Emirates</strong>",0,5.0
751321327,https://www.tripadvisor.com/Hotel_Review-g14129743-d634263-Reviews-The_Ritz_Carlton_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,"The Ritz-Carlton, Tokyo","March 18, 2020",The Ritz Carlton in Tokyo is the most luxurious hotel I have ever stayed in. Usually all Ritz Carltons are luxurious but this one tops the Ritz Carltons in Osaka and Singapore that I previously stayed in. The rooms are 52m big with a huge bathroom and very luxuriously appointed. I stayed there for 6 nights but did not manage to use any of the hotel facilities as I spent all my free time exploring Tokyo. The hotel is next to Tokyo Midtown shopping mall and close to Roppongi and Akasaka where there are a lot of restaurants. This is one hotel that definitely impressed me.,"Singapore, Singapore","Ken_Ip_in_SG</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",7,5.0
748103961,https://www.tripadvisor.com/Hotel_Review-g14129743-d634263-Reviews-The_Ritz_Carlton_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,"The Ritz-Carlton, Tokyo","February 28, 2020","■Location:Midtown in Tokyo.位置：東京ミッドタウン■Our stay condition:泊数For 1 night一泊■Room:部屋Type: a one bed room deluxe twinデラックス・ツイン・ルームLocation: Nice with a city view眺望：街並みAirconditioner: Comfortableエアコン：快適Lighting: Sufficient照明：十分TV: 1setテレビ：１台Bath & Shower : Excellentバス＆シャワー：素晴らしいToilet: 1roomトイレ：１室Free Wi-Fi: AvailableフリーWi-Fi：利用可能Mini Bar & A fridge: Availableミニバー：利用可能Safety box: Availableセイフティー・ボックス：利用可能Gym & Pool: Available. I recommend the pool because gorgeous.ジム＆プール：利用可能。プールはおすすめ。■Response of staff: Perfectスタッフの対応：完璧■FoodBreakfast & Dinner: Delicious & gorgeous with a nice city view at the Member's Lounge. You can only enjoy a special sake here. Amazing!食事：朝食&夕食：メンバーズ・ラウンジでシティービューを楽しみながら、美味しい料理（ビュッフェ）を楽しめる。ここでしか飲めないお酒あり。最高！■Others私の誕生日祝いでここをチョイス。スタッフが、私が行く先々で、おめでとうございます！を連呼。これには、感激した！その他：I stayed here for my birthday celebration. every staff said ""Happy Birthday""to me wherever I went. It was impressive!","Hamamatsu, Japan","mashcom</div><div class=""userLoc""><strong>Hamamatsu, Japan</strong>",42,5.0
746054669,https://www.tripadvisor.com/Hotel_Review-g14129743-d634263-Reviews-The_Ritz_Carlton_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,"The Ritz-Carlton, Tokyo","February 18, 2020","Lovely, comfortable and relaxing hotel that is very much at ease with itself in providing the highest standards of service to guests.Too many good things to mention but the highlights were the outstanding housekeeping service - our room was relentlessly refreshed but we never saw any staff at any time - and the wonderful Reika, who stopped to ask us on our way out for the day about our plans and/or on the way back to see if we had enjoyed our day. She was particularly helpful in making us aware of a national holiday which, had we not known, would have seen us travel to a place of interest that would have been deserted. She advised us to change our plans and instead we went to Ueno Park, which was buzzing and the highlight of our vacation.All staff are wonderful, kind, generous and professional. It was a pleasure to stay here.","London, United Kingdom","MGSreject</div><div class=""userLoc""><strong>London, United Kingdom</strong>",263,5.0
744472367,https://www.tripadvisor.com/Hotel_Review-g14129743-d634263-Reviews-The_Ritz_Carlton_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,"The Ritz-Carlton, Tokyo","February 11, 2020","I just arrived after spending 5 nights at The Ritz in Tokyo. Love the hotel. The common areas, the spectacular views and stunning floral arrangements in the lobby were all next level. The food and service for breakfast was incredible friendly and the food was delicious. The bar service was excellent. So many little extra touches for making a traveller travelling alone feel so comfortable. I highly recommend the hotel and would not hesitate to stay here again. The room was spacious clean and very well appointed. The gym was great as well. Unfortunately I did not get a chance to use the spa but definitely will on my next visit. I spent a lot of time deliberating where to stay and I am delighted with my decision. The location and attached shopping centre with cold rainy weather was a huge plus! If I had to point out one small thing it would be that the room could use a paint refresh. A small concession after such incredible service!!","Montreal, Canada","annasueg</div><div class=""userLoc""><strong>Montreal, Canada</strong>",22,5.0
743855815,https://www.tripadvisor.com/Hotel_Review-g14129743-d634263-Reviews-The_Ritz_Carlton_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,"The Ritz-Carlton, Tokyo","February 8, 2020",We love the spa here. We love the treatments. We love the afternoon tea we love the champagne. We had the best meal at Azure 45 and from start to finish this is the best hotel in Tokyo :) I would stay here forever if I could but the apartments are too pricey!,,yogaTRAVELhappyhr,9,5.0
743331053,https://www.tripadvisor.com/Hotel_Review-g14129743-d634263-Reviews-The_Ritz_Carlton_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,"The Ritz-Carlton, Tokyo","February 5, 2020","Lobby on the 45th floor!!! Insanely incredible! Upon my arrival, the lobby staff meet and greet me and bring me straight to my room and the persobal service to privately check me in IN my room. The hotel staff are so accomodating to our request. The comfort and convenience of it all after a long day of travelling was just excellent. My room was absolutely beautiful with an amazing view of the city skyscrapper!! I was also given the vip access to the club lounge and i must truely say that the service just as tip top as my arrival to the hotel. The service staffs, the chefs down to the house keeping staff are all amazing! Little details to personalise my stay that gets me feel of that personal touch which is lack of in these modern stressful day. I love my stay and wish it could have been longger but my 3 nights of stay has been memorable experience. I will definately come back to stay with them again when i'm back in Tokyo!","Melbourne, Australia","Mysticalsapphiregirl</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",4,5.0
743260608,https://www.tripadvisor.com/Hotel_Review-g14129743-d634263-Reviews-The_Ritz_Carlton_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,"The Ritz-Carlton, Tokyo","February 5, 2020","On our first trip to Japan, we spent our initial days at the Ritz-Carlton. The logic being that our jet-lagged brains needed something familiar and cushy to crash at before taking on Japan. So, as expected, the staff is on-point. Exceptional service from the moment you walk into the hotel. The room was fairly spacious and the views are stunning (I’d imagine) from any room as the hotel doesn’t start until the 45th floor in the building and is the tallest for a few blocks. The room was as expected from Ritz-Carlton. Lots of extras.Nepresso machine. Kettle for tea and tea bags. Lots of items in the bathroom in case you forgot something. Our room had a separate tub and shower. Breakfast was great but pricey. $100+ for two people even with a discounted rate. We did it once and then hit a few spots in the ‘mall’ in the building for the other days. Lots of amenities as far as spas and pools but we missed that. Concierge service was helpful and friendly. ","New York City, New York","OhFranklin</div><div class=""userLoc""><strong>New York City, New York</strong>",99,5.0
741649640,https://www.tripadvisor.com/Hotel_Review-g14129743-d634263-Reviews-The_Ritz_Carlton_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,"The Ritz-Carlton, Tokyo","January 27, 2020","I was stunned with almost every aspect of this hotel- the luxury of the room, the amazing view, the amazing staff...I would have easily given the place a 5 star review...but then I visited the pool/spa. It is beautiful. We visited earlier in the day so we could see whether It was worth going there later. It was beautiful, and it certainly seemed worth it. They walked us around and showed us all the facilities, and mentioned the steam room, sauna, etc. They never once said anything about use of the facilities costing extra money, even for hotel guests. For the record, there is no mention of an extra cost even on their spa menu that I grabbed, or on the website under the spa menu. But when we showed up to use it at the end of the day, they very casually handed us a sheet of paper letting us know there was a $30 charge per person. Now granted, I have no problem with the hotel with us upfront about additional spot charges. If they are upfront, that is up to you to decide whether or not you want to pay it. But for a hotel where the rooms are in the $500s at a minimum, and upwards $1000, it is extremely strange to nickel and dime on use of a steam room/sauna, without even being transparent about it. After feeling irritated and doing a lot of searching, I finally found mention of the additional charge on the website for the gym facilities. I also noticed a lot of other people have commented on this as a complaint on review sites. I hope they fix this little detail, so that they can truly become one of the best hotels in Tokyo!","New York City, New York","Dragonlady15</div><div class=""userLoc""><strong>New York City, New York</strong>",96,4.0
740958430,https://www.tripadvisor.com/Hotel_Review-g14129743-d634263-Reviews-The_Ritz_Carlton_Tokyo-Akasaka_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,"The Ritz-Carlton, Tokyo","January 24, 2020","The design of the intimate interior to the fast elevator to the high floors, you are ushered in arrival to RC high floors. The bar and lobby restaurant have fantastic views, as did our room. The room was extremely comfortable with an excellent bed, quality appointments but the housekeeping. Oh wow. So good. They were so attentive and when we expressed concern that the room smelled like cigarette smoke they dealt with it immediately (to great affect might I add).We enjoyed pre-dinner drinks in the lounge but did not eat at the restaurant. It was great.Post check out I was concerned I had left something in the room and the follow up and thoroughness of the housekeeping department and staff was outstanding. I cannot recommend the Ritz Carlton Tokyo more highly. Also the location is really my favorite, close to Roppongi Hills and walk able to so many train stations and even by foot locations.","Palo Alto, California","merevmartin</div><div class=""userLoc""><strong>Palo Alto, California</strong>",22,5.0
