review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
755306401,https://www.tripadvisor.com/Hotel_Review-g1066451-d307378-Reviews-The_Royal_Park_Hotel_Iconic_Tokyo_Shiodome-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Royal Park Hotel Iconic Tokyo Shiodome,"May 21, 2020",Generally hotel rooms are small in Tokyo. For a family of 3 travelling we stayed at the Deluxe King which offered a true king size bed and a sofa bed. There were plenty of closet space and drawer space for stuff as we were there for 5 nights. The bathroom is also very spacious so getting ready to go out in the morning was much more efficient. We could see the Tokyo Tower from our room and the city lights at night was an added bonus giving you a sense of the vibrant city. One of the major plus is its convenient location. There is a direct underpass to the Shimbashi metro hub and Shiodome station. This gives easy access to almost everywhere in Tokyo. It is also a short walk to Ginza. There are loads of restaurants within easy reach of a short walk. It was also super convenient to get to Narita airport. There is a train on Asakusa line (from Shimbashi station) directly to Narita airport. Check with concierge for the timetable. The ride is slightly over 1 hour and cost just 1000+yen. This was the perfect hotel and we loved their happy hour at lobby lounge. ,"Shanghai Region, China","XP-Traveler</div><div class=""userLoc""><strong>Shanghai Region, China</strong>",91,5.0
750846896,https://www.tripadvisor.com/Hotel_Review-g1066451-d307378-Reviews-The_Royal_Park_Hotel_Iconic_Tokyo_Shiodome-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Royal Park Hotel Iconic Tokyo Shiodome,"March 14, 2020","We stayed here because of its location: steps from train station, beautiful Japanese garden, and the Tokyo Bay cruise. The staff could not have been more helpful. The amenities were great. We didn't eat in the restaurants, but had a drink in front of the window facing Tokyo Bay. Incredible views. There is also shopping and restaurants within steps of the hotel. It was clean, quiet and the beds were wonderful. We stayed 2 nights before our trip to Osaka and Kyoto. For a reasonable fee, they shipped our luggage ahead to our next hotel so we could enjoy the bullet train without having to haul luggage about. We would stay here again!","Albuquerque, New Mexico","shell87124</div><div class=""userLoc""><strong>Albuquerque, New Mexico</strong>",26,5.0
745342224,https://www.tripadvisor.com/Hotel_Review-g1066451-d307378-Reviews-The_Royal_Park_Hotel_Iconic_Tokyo_Shiodome-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Royal Park Hotel Iconic Tokyo Shiodome,"February 15, 2020","The hotel is located above train stations and in between walking area of Ginza shopping district and Tsukiji Market, a lot of restaurants in hotel basement area. We stay at the corner room for 3 adults, room are very clean, organized, separate room for toilet beside the shower area with complete basic amenities, good wifi connection and etc. The whole surrounding areas of the hotel are very quiet, day and night.","Metro Manila, Philippines","jakes239</div><div class=""userLoc""><strong>Metro Manila, Philippines</strong>",4,5.0
744917848,https://www.tripadvisor.com/Hotel_Review-g1066451-d307378-Reviews-The_Royal_Park_Hotel_Iconic_Tokyo_Shiodome-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Royal Park Hotel Iconic Tokyo Shiodome,"February 13, 2020","My husband and I stayed here during Christmas. The hotel itself is situated in a very handy location with the trains just below and a 5 mins walk away. There were also shopping centers filled with restaurants and a convenience store all near the hotel, again 5 or so mins walk away. We managed to see a lot of Tokyo so it was very handy to have the trains so close to the hotel.The room itself was ok sized, we opted for the moderate room. Definitely a great choice as the other rooms are a tad smaller then the one we had, it was spacious enough to hold two large suitcases. The bed was comfy and large enough for 2 people. The bathroom was ok, although needed revamping but was still clean. The toilet was separate to the bathroom, had to move from the bathroom to the toilet but didn't mind. The toilet was clean and Japanese design.The staff at the hotel were uber friendly. We only had one grumpy staff member upon checking in but for the rest of the time there everyone else was so friendly and helpful, when we needed help with directions or general questions.The only thing we struggled with the hotel is room service. At times when we've had a long day exploring and walking we just wanted the treat and luxury of room service. Although we had restaurants nearby, many, sometimes when it was cold we just wanted to stay in our rooms in the evening.Haneda airport is only 30mins train ride away, and only one line from the hotel, we used this both ways when using the hotel. It was very convenient and cost effective as the taxis are expensive and shuttles take a long time as they need to stop at different hotels.As most reviews have said, this hotel is a great location and very convenient with plentiful of restaurants nearby.",,B1507_UK,9,4.0
743870330,https://www.tripadvisor.com/Hotel_Review-g1066451-d307378-Reviews-The_Royal_Park_Hotel_Iconic_Tokyo_Shiodome-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Royal Park Hotel Iconic Tokyo Shiodome,"February 9, 2020","Highly recommend! Had a double room, standard, floor 31. Comfortable size (26m) and amazing view! Great soaking tub plus stand up shower. Quality amenities, spotless housekeeping. Great lobby and bar/lounge. Helpful staff. Subway right connected to building (level B2), gym, and café.",,TeaWineSuzhiPizza,1,5.0
741555078,https://www.tripadvisor.com/Hotel_Review-g1066451-d307378-Reviews-The_Royal_Park_Hotel_Iconic_Tokyo_Shiodome-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Royal Park Hotel Iconic Tokyo Shiodome,"January 27, 2020","The Royal Park Hotel Shiodome, I believed was an excellent hotel. I stayed between December 27, 2019 to January 8th 2020. This opinion was mostly driven by it's location, which is located at a major metro hub, Shimbashi station. Shimbashi station, you can hop on any train and get anywhere in Tokyo. There were multiple local food places around outside the hotel, it was a very convenient location. I found the staff to be helpful and attentive, I had a package delivered to me that didn't have my name on it, but I was able to retrieve from the hotel front desk with no issues. The breakfast at the hotel was great, had a good selection to choose from. The hotel room, I went with a Moderate size room, the room I found was rather big for Japanese standards. Had plenty of room to maneuver my luggage and space to walk around. Housekeeping I found was good, especially in concerns with laundry. The decor for the room is slightly outdated and I feel should be updated. Even though I found the hotel to be great, I will probably not be staying there again for my next visit to Japan. Unfortunately, it seems my room had Bed Bugs, which has soured my opinion. Even worse, it seems I have brought a couple of hitchhikers back to my house as I keep waking up with bite marks. I have already spent about a $1000.00 in dealing with it, I am hopeful because of how early I started dealing with the problem, that I will not have to spend anymore and the pest is dealt with from the latest treatment.",,DrekkoOkami,1,2.0
740721511,https://www.tripadvisor.com/Hotel_Review-g1066451-d307378-Reviews-The_Royal_Park_Hotel_Iconic_Tokyo_Shiodome-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Royal Park Hotel Iconic Tokyo Shiodome,"January 22, 2020","Room was nice, clean and comfortable. Staff, especially concierge was very helpful. However when we checked out, we had over two hours to wait for our bus to the airport. There was nowhere comfortable to sit while we waited. Just stools in a main thoroughfare. There were plenty of empty seats and tables in the bar/cafe but we were not allowed to sit there unless we ate. Everything was very expensive. Coffee was over 1000 yen. This was a disappointment and the first place we’ve ever been to where a four star hotel has no comfortable areas to sit. The reception staff were clueless about what to do. ","Greater London, United Kingdom","BobbieSteve</div><div class=""userLoc""><strong>Greater London, United Kingdom</strong>",8,4.0
740546266,https://www.tripadvisor.com/Hotel_Review-g1066451-d307378-Reviews-The_Royal_Park_Hotel_Iconic_Tokyo_Shiodome-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Royal Park Hotel Iconic Tokyo Shiodome,"January 21, 2020",This was my second stay at this perfectly located hotel. Subway and train stations very close. A short taxi to Ginza and other attractions.The feel is Japanese and also very cosmopolitan with people from all around the world.The breakfast buffet is significant and you will not be disappointed. You will be treated to epic views of Tokyo tower and on a clear day see Mt Fuji.The rooms are well equipped and relaxing. There are many room categories to fit your needs. The staff really make this place shine. Very helpful and attentive.Their minor drawback is a small fitness room which gets very busy in the morning hours.,"Pukalani, Hawaii","jdwhitemaui</div><div class=""userLoc""><strong>Pukalani, Hawaii</strong>",66,5.0
739963705,https://www.tripadvisor.com/Hotel_Review-g1066451-d307378-Reviews-The_Royal_Park_Hotel_Iconic_Tokyo_Shiodome-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Royal Park Hotel Iconic Tokyo Shiodome,"January 19, 2020","I first came to this hotel 15 years ago and it doesn't seem to have had any updates since - it is looking a little dated now. The lobby is great but the rooms are a little small - which is to be expected in Tokyo. The breakfast is OK but nothing special, the bar and view are fantastic. The location is very convenient for the subway but this is not a neighbourhood to walk about at night. Staff were very helpful, especially when hailing taxis for us. Would probably give it 3.5 stars.","Tel Aviv, Israel","rogero555</div><div class=""userLoc""><strong>Tel Aviv, Israel</strong>",22,3.0
739776570,https://www.tripadvisor.com/Hotel_Review-g1066451-d307378-Reviews-The_Royal_Park_Hotel_Iconic_Tokyo_Shiodome-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Royal Park Hotel Iconic Tokyo Shiodome,"January 18, 2020","Another business trip to Tokyo, spent 4 nights at RPH. Great location next to Shimbashi station and the entertainment area - just half hour train drive from from Haneda airport . Friendly staff - well assorted breakfast buffet.","Bangkok, Thailand","Hinze1962</div><div class=""userLoc""><strong>Bangkok, Thailand</strong>",7,4.0
