review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
755306355,https://www.tripadvisor.com/Hotel_Review-g1066454-d6777496-Reviews-The_Royal_Park_Hotel_Tokyo_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Royal Park Hotel Tokyo Haneda,"May 21, 2020","ProsLocation is very convenient, sleeping was nice, cold in the room, ac was working, couldn't hear airplanes from outside.ConsRooms are small, price is expensive.Overall I am definitely going to come back whenever I have a late flight but the rooms are small.","Huntington Beach, California","emergencyexit84</div><div class=""userLoc""><strong>Huntington Beach, California</strong>",1,4.0
680060603,https://www.tripadvisor.com/Hotel_Review-g1066454-d6777496-Reviews-The_Royal_Park_Hotel_Tokyo_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Royal Park Hotel Tokyo Haneda,"June 8, 2019",Level 3F. Free Shuttle bus to Domestic terminals from station 0. You can buy bus ticket to Haneda on level 2 for 3100 yen. Station 5. Small rooms. Good quality. Coffee and tea kettle in drawer. Great bathroom. No exercise facility. Nice bed and pillow. Very friendly staff. Can’t beat the convenience of the location. ,"Vancouver, Canada","728marshalld</div><div class=""userLoc""><strong>Vancouver, Canada</strong>",29,4.0
748625035,https://www.tripadvisor.com/Hotel_Review-g1066454-d6777496-Reviews-The_Royal_Park_Hotel_Tokyo_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Royal Park Hotel Tokyo Haneda,"March 1, 2020","Stayed for a weekend with my parents & son. My mom had polio as a child so walking is difficult. The hotel was perfect since it’s in the airport. Front desk staff are friendly, speak English & helpful. There are things to do in the airport itself - restaurants & shopping!","Ventura County Coast, California","Cecille L</div><div class=""userLoc""><strong>Ventura County Coast, California</strong>",1,4.0
748231574,https://www.tripadvisor.com/Hotel_Review-g1066454-d6777496-Reviews-The_Royal_Park_Hotel_Tokyo_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Royal Park Hotel Tokyo Haneda,"February 28, 2020","We stayed at the Royal Park Hotel Hanedafrom February 14-22 2020, Hollywood TwinRoom 731. The staff at checkin was every warm and welcoming. At checkout again the staff was very sincere and wishing us a safe flight and wish us to return again, and we will.On our departure the hotel staff offered us complimentary breakfast because of minor problem with the hot water which was not under their control in the late evening, affected the whole hotel, but in the morning the issue was fixed.I would like to thank Mr. Kato at front desk who handled our checkout and the complimentary breakfast. I also want to thank Mr. Shohei Honda, for personally coming to explain the water issue from the night.I want to say Thank-you to all the staff at Royal Park Tokyo Haneda. We will return again in the near future. Sincerely, Mr. Caldera Roberto Antonio Mr. Poon Tak LokRoom 731 February 14-22 2020","Hong Kong, China","PauHana69</div><div class=""userLoc""><strong>Hong Kong, China</strong>",2,5.0
748127901,https://www.tripadvisor.com/Hotel_Review-g1066454-d6777496-Reviews-The_Royal_Park_Hotel_Tokyo_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Royal Park Hotel Tokyo Haneda,"February 28, 2020","Since I booked a night via AGODA and outbreak crisis raised, I cancel my booking but was charge so I tried accessing hotel’s official website and submit e-mail - NEVER GET ANY RESPOND! Paying overseas call fee does NOT make sense!","Bangkok, Thailand","BookTheGuide</div><div class=""userLoc""><strong>Bangkok, Thailand</strong>",1,5.0
747489379,https://www.tripadvisor.com/Hotel_Review-g1066454-d6777496-Reviews-The_Royal_Park_Hotel_Tokyo_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Royal Park Hotel Tokyo Haneda,"February 25, 2020","Conveniently located inside Haneda’s International Terminal this hotel is brand new and features some small but clean and fully equipped rooms. There is a shuttle running pretty often and connecting the other terminals so if you happen to be bumped from a flight because of a snow blizzard in Hokkaido, which was eventually our case, you might comfortably pop in here and wait for the storm to calm down. But if you have more than just few hours, I suggest that you look for a better location in town and enjoy a little more of what Tokyo has to offer","Rome, Italy","398MarcoS</div><div class=""userLoc""><strong>Rome, Italy</strong>",323,3.0
743828066,https://www.tripadvisor.com/Hotel_Review-g1066454-d6777496-Reviews-The_Royal_Park_Hotel_Tokyo_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Royal Park Hotel Tokyo Haneda,"February 8, 2020","The room is small but modern and it was the perfect stay as i was in transit and just needed a place to sleep. The staff was friendly and the location perfect was it was right atthe airport. The breakfast buffett was really good, a lot of choices.","Huntington, New York","nezd2016</div><div class=""userLoc""><strong>Huntington, New York</strong>",237,5.0
741423083,https://www.tripadvisor.com/Hotel_Review-g1066454-d6777496-Reviews-The_Royal_Park_Hotel_Tokyo_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Royal Park Hotel Tokyo Haneda,"January 26, 2020","Easy and very accessible hotel. It is very convenient for travelers who want to travel on a early morning flight and who are in a transit. Very friendly and humble staff. The rooms are clean, very well laid and very cozy. Good place to spend overnight while travelling.","Bangalore District, India","INDYDOC</div><div class=""userLoc""><strong>Bangalore District, India</strong>",3,5.0
740476587,https://www.tripadvisor.com/Hotel_Review-g1066454-d6777496-Reviews-The_Royal_Park_Hotel_Tokyo_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Royal Park Hotel Tokyo Haneda,"January 21, 2020","My wife and I boarded the ANA flight from NYC with our final destination to Manila in Economy. While ANA Economy class was better then anticipated, 12 plus hours of not being able to sleep adds up. We were at Haneda Airport- Tokyo International Airport - for a 12 hours 25 minute layover before our 5 hour flight to Manila. After the flight we decided to stay at this property to freshen up and catch some sleeps before the upcoming flight. This property was what the doctor ordered. Yes the rooms are on the tighter side but, when your objective is resting and freshening up for your connecting flight, the size of the room is not an issue. They had all the bath amenities that was needed with a bath tub a complementary water in the fridge and they even had a lounge with drinks (orange juice, water and coffee) and, to my surprise, cup noodle for a little snack. All these and efficient service from the Night manager(?) for $141 was definitely worth it. We’re adding this property for a long layover pit-stop at Haneda Airport. Also, if your layover is not as long, we’re talking about few hours, they also have a refresh room starting at 3,000 yen (roughly $30) for an hour.","New York City, New York","Japandroid89</div><div class=""userLoc""><strong>New York City, New York</strong>",9,5.0
739879752,https://www.tripadvisor.com/Hotel_Review-g1066454-d6777496-Reviews-The_Royal_Park_Hotel_Tokyo_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Royal Park Hotel Tokyo Haneda,"January 18, 2020","I stayed there after coming to Japan from UK. It has been a long day so I needed somewhere I can check in straightaway. The price wasn’t cheap but if you consider the hassle to go to elsewhere where you need to hop onto a hotel shuttle it was absolutely worth it!Also, they can lend you an adopter for your mobile free of charge. The room I stayed was downstairs and couldn’t see run way but I was so tired so couldn’t really bothered lolThe bed was really nice and the bathroom / shower was very nice too and clean.I am happy that I stayed there!",,Tina4190,8,4.0
737908125,https://www.tripadvisor.com/Hotel_Review-g1066454-d6777496-Reviews-The_Royal_Park_Hotel_Tokyo_Haneda-Ota_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,The Royal Park Hotel Tokyo Haneda,"January 8, 2020","This hotel is so convenient for a last night stay before an early flight. We booked a Premium Room and got room 861 at the end of a very long corridor, overlooking the front of the airport. It was still a small room, although bigger than others on the floor. There was a fridge, bottled water, a kettle and mugs. The bathroom was very small with a bath, a shower over the bath and a Toto. The shower was very powerful.It had an interesting check in where you pay at a separate terminal point and check out is at the same machine terminal. There is a vending machine on the corridor with soft drinks and beers.","Chessington, United Kingdom","PotterMoose</div><div class=""userLoc""><strong>Chessington, United Kingdom</strong>",243,3.0
