review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
755367467,https://www.tripadvisor.com/Hotel_Review-g14129528-d310308-Reviews-The_Tokyo_Station_Hotel-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Tokyo Station Hotel,"May 23, 2020","This is the best hotel coffeeshop in Tokyo but with some drawbacks. In normal times, a reservation is necessary and for a hotel coffeeshop that is a bother. Regretfully the pricing is ridiculous for most items on the menu but if that is the price I have o pay to keep it, as it is, then, ok, I will. Still it seems not difficult to understand that instead of asking nearly 2000 yen for a glass of champagne it is better to sell a bottle at 12,000 to 15000 of, for example ,Bollinger or Taittinger as you might actually sell them. Service is nice but slow, but that is ok, when I go there, I am not in a hurry.","Tokyo, Japan","Rob M</div><div class=""userLoc""><strong>Tokyo, Japan</strong>",131,4.0
752956969,https://www.tripadvisor.com/Hotel_Review-g14129528-d310308-Reviews-The_Tokyo_Station_Hotel-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Tokyo Station Hotel,"April 27, 2020","First, if you have any concerns, this is a luxury hotel with impeccable staff and service. The location is outstanding making it a very convenient trip from Nartita. Don't hesitate to request ahead of time to be met at your train by staff as navigating the trip from the train to the hotel is challenging for any seasoned traveler. It's just the tip of the iceberg when it comes to the outstanding service provided by the concierge team. As a guest we were afforded access to the health club onsite for a nominal charge. The facility is luxury as well. Our lunch in the main floor exceeded it's already stellar reputation. The luxury, staff and service made this a highlight of our trip to Hong Kong, Tokyo, Kyoto and Osaka. Even after checking out and leaving for Kyoto, on the way back through Tokyo Station, staff met us at our train and took our luggage to the Narita Express. Their is no way we could have navigated the train station in time to make our connection. REMEMBER, WE HAD ALREADY CHECKED OUT OF OUR HOTEL A WEEK PRIOR when they contacted us asking what train we were on from Kyoto, to make sure they met us at the train car. They also assisted us in purchasing tickets to Kyoto after we checked out. Just as when we arrived, they carried our luggage and gleefully engaged us in conversation and delivered us to our destination. At this point, I want to make the special effort to acknowledge the lead Chief Concierge Marie Antoinette Mori and one member of her staff, Miyuki Saito. ","Bellevue, Washington","Wander57259173078</div><div class=""userLoc""><strong>Bellevue, Washington</strong>",0,5.0
752112698,https://www.tripadvisor.com/Hotel_Review-g14129528-d310308-Reviews-The_Tokyo_Station_Hotel-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Tokyo Station Hotel,"March 31, 2020","We had a wonderful few days here. The staff were absolutely charming and could not have been more helpful - including helping us with our luggage to the platform for Shinkansen & Narita Express. Rooms have recently been renovated, everything is tip top.","Jersey, United Kingdom","RusNewton</div><div class=""userLoc""><strong>Jersey, United Kingdom</strong>",246,5.0
751701325,https://www.tripadvisor.com/Hotel_Review-g14129528-d310308-Reviews-The_Tokyo_Station_Hotel-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Tokyo Station Hotel,"March 23, 2020","Their prominent breakfast buffet had to be stopped and replaced with fixed set menu, but the hotel was trying their best to cope with the current situation. Staffs were quite nice, ideal location, the walk to the front desk from the room is a little pain as the hotel is stretched horizontal to the train station. As a tourist, I asked few questions at the concierge getting around Tokyo and was astonished when asked “don’t you have a cell phone,” as if I should do my own research. Typical of the service targeted for non-Japanese tourist but they could do better. ",Japan,"YKHykh</div><div class=""userLoc""><strong>Japan</strong>",0,3.0
751276011,https://www.tripadvisor.com/Hotel_Review-g14129528-d310308-Reviews-The_Tokyo_Station_Hotel-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,The Tokyo Station Hotel,"March 17, 2020",We loved our stay. The hotel itself is beautiful and luxurious. The staff are so kind and pleasant. The lounge downstairs is a very relaxing place to have a drink and listen to the harpist. The rooms are small but super comfortable. The view from the windows is an added touch. The bathrooms are massive and loved the shower head. We would stay here again for sure. Great location too. ,"Brisbane, Australia","soff01</div><div class=""userLoc""><strong>Brisbane, Australia</strong>",42,5.0
750072518,https://www.tripadvisor.com/Hotel_Review-g14129528-d310308-Reviews-The_Tokyo_Station_Hotel-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Tokyo Station Hotel,"March 9, 2020","The Tokyo Station Hotel is full of rich heritage. If the walls could talk!!! This hotel was once the offices of the railway station. Check in as smooth a silk and I was guided to my room. Heritage brochure given on arrival and walls full of paintings, prints and photographs of the buildings former life. The hotel has a wonderful selection of restaurants - I chose Camellia for dinner which is a bar / restaurant, which was an excellent choice - sausages and onion rings - delicious with some Japanese whisky. Bar staff speak excellent English which is so for all the hotel. To the Lobby Lounge for a nightcap - not my intention but I heard the harp music being played with such angelic talent my attention was lost in absorbing attraction. If I had known I would have arrived much earlier.Breakfast the following morning - my, what a selection in the Dome. I didn’t know where to start but I went around several times to sample a little of each on offer. I was suitably impressed with this restaurant also. As I was leaving the waiter gave me a cookie and crisp bread to take away as I told him I was taking a train from Tokyo later that morning. This is a hotel that mixes the arts and heritage. It is inspirational for its history. The concierge were helpful though they chose to check museum opening by the internet rather than calling (it being the weekend of the introduction of limitation of opening caused by Covid 19), and hence I was misinformed. Front desk super efficient and looked after my bags until I returned four days later. The only downside of this hotel is the size of some of the rooms - my cupola room was just 30 Sq meters. I understand that the shape and size is dictated much by the nature and shape of the building. Notwithstanding, I didn’t spend too much time in my room so no big issues. The proximity to the station is one very positive element to staying here. All platforms within walking distance.A great hotel and a wonderful experience, especially for rail enthusiasts. I love my stay here!","Singapore, Singapore","NigelG407</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",532,5.0
746283898,https://www.tripadvisor.com/Hotel_Review-g14129528-d310308-Reviews-The_Tokyo_Station_Hotel-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Tokyo Station Hotel,"February 20, 2020","My first visit to Tokyo, so lucky to have been recommended to this hotel. Reading the history of the hotel and it's transformation into what it is today is really interesting. The hotel is in a small group of hotels which i would not hesitate to stay at again. The attention to detail, the service by the staff, quality of the food, decor and cleanliness are exceptional a truly wonderful stay, well done to all involved. The location is great, its part of the station, whether you are travelling locally or further afield by the ""Bullet"" its all minutes away. Also a short walk from the Imperial Palace, close to numerous restaurants and shops a perfect location to see Tokyo from.","Chichester, United Kingdom","TunbridgeUK</div><div class=""userLoc""><strong>Chichester, United Kingdom</strong>",10,5.0
746006367,https://www.tripadvisor.com/Hotel_Review-g14129528-d310308-Reviews-The_Tokyo_Station_Hotel-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Tokyo Station Hotel,"February 18, 2020",Beautiful hotel! We contacted them ahead of time to arrange meeting us at the train station to help us with our luggage and we were greeted by 2 staff members right at our train car. The room was a bit small but lovely. Gorgeous rainwater shower. Great location to the train and an easy walk to the Imperial Gardens. I did find it strange that they would allow you to use the computer in the business center for 10 minutes with a charge of 100 Yen. All of the hotels I’ve stayed at had a business room with computers with no time limit or charge. It’s just bizarre that a hotel of this caliber would do this. I still loved the hotel and would highly recommend it!,"Bradenton, Florida","muffinmom941</div><div class=""userLoc""><strong>Bradenton, Florida</strong>",3,5.0
745830780,https://www.tripadvisor.com/Hotel_Review-g14129528-d310308-Reviews-The_Tokyo_Station_Hotel-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Tokyo Station Hotel,"February 17, 2020",Back again for a second stay and it was still very pleasant. The location is unbeatable for taking trains all around and to Narita. Service is still good. The hotel is really elegant. This time round my room faced the direction of the palace and that makes it nicer than the dome facing room in my opinion.,"Singapore, Singapore","Singap0reTraveller</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",251,5.0
744341893,https://www.tripadvisor.com/Hotel_Review-g14129528-d310308-Reviews-The_Tokyo_Station_Hotel-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,The Tokyo Station Hotel,"February 11, 2020","Loved staying in this beautiful hotel at the train station. The location is awesome and the hotel is very elegant. The staff were super kind , attentive, knowledgeable, spoke perfect English for those who do not speak Japanese. Our room super clean and very comfortable with great amenities, very quiet as well. The staff stored our luggage on our check out day. They also escorted us all the way down to the Narita Express platform, assisting with our luggage. That was such a kind gesture, possibly they sensed I was concerned about not missing the train. Very lovely, polished, kind staff. They were also very genuine, asked why we chose their hotel and loved hearing our responses. I want to go back!","San Diego, California","20camir</div><div class=""userLoc""><strong>San Diego, California</strong>",0,5.0
