review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
750248790,https://www.tripadvisor.com/Hotel_Review-g1066459-d1083549-Reviews-Tobu_Hotel_Levant_Tokyo-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tobu Hotel Levant Tokyo,"March 10, 2020",The hotel was very nice although I had to change rooms once because of a strange smell from my original room. Turned out to be a blessing because the new room assigned to me faced the Tree Tower which was terrific.,"Honolulu, Hawaii","tom m</div><div class=""userLoc""><strong>Honolulu, Hawaii</strong>",8,4.0
744892177,https://www.tripadvisor.com/Hotel_Review-g1066459-d1083549-Reviews-Tobu_Hotel_Levant_Tokyo-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tobu Hotel Levant Tokyo,"February 13, 2020",We recently travelled to tokyo from New Zealand for a family holiday Myself my wife and 2 small children loved it. Tobu hotel levant is a stunning hotel with lovely helpful staff. Although the rooms are small which is pretty common for tokyo we had plenty of room for the four of us. The restaurant for breakfast was great and had a huge variety. We also frequented this restaurant for the buffet dinner and would highly recommend. 2 min walk to the trains and 30mins walk to the skytree. We will be returning to hotel tobu levant in the future for sure! ,"Auckland Central, New Zealand","231haydenl</div><div class=""userLoc""><strong>Auckland Central, New Zealand</strong>",3,5.0
742462741,https://www.tripadvisor.com/Hotel_Review-g1066459-d1083549-Reviews-Tobu_Hotel_Levant_Tokyo-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tobu Hotel Levant Tokyo,"February 1, 2020","Excellent hotel. Large spacious reception area, beautifully decorated for Christmas! Well appointed bedrooms with en suite facilities. Extremely pleasing dining room with a good choice of food. The hotel is well situated for walking to places of interest and international restaurants and bars, although the roof top bar provides a relaxing place to enjoy a brilliant view of the city by night! A very good hotel l thoroughly recommend!","Skelwith Bridge, United Kingdom","phale12017</div><div class=""userLoc""><strong>Skelwith Bridge, United Kingdom</strong>",12,4.0
741771605,https://www.tripadvisor.com/Hotel_Review-g1066459-d1083549-Reviews-Tobu_Hotel_Levant_Tokyo-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tobu Hotel Levant Tokyo,"January 28, 2020",Very nice hotel in an excellent/convenient location. No hustle and bustle of fighting crowds. Especially like the convenience of airport limousine bus direct from either Haneda international or Narita airports at a reasonable rate.,,4tirinme,0,5.0
741073179,https://www.tripadvisor.com/Hotel_Review-g1066459-d1083549-Reviews-Tobu_Hotel_Levant_Tokyo-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tobu Hotel Levant Tokyo,"January 24, 2020","10 min walk to subway station which connects to Disney with 1 change or to downtown on another line. Direct Disney bus shuttle available (the main reason for choosing this hotel) but unfortunately it was already fully booked upon check-in for the next day service. Airport bus stops at the hotel door. No major attraction nearby except the Skytree Tower. There are many small eateries, shops and launderettes around.Room is clean and decent sized compared to the average hotel in Tokyo. Firm bed which is good for problem backs but maybe a little too much for others. Keen service provided by the English speaking staff at reception.Disney bus aside there may be more hotel choices closer to the city and other attractions for the same price.",,Tour759193,3,3.0
739969498,https://www.tripadvisor.com/Hotel_Review-g1066459-d1083549-Reviews-Tobu_Hotel_Levant_Tokyo-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tobu Hotel Levant Tokyo,"January 19, 2020","Excellent Hotel and Service. Staff were friendly, helpful and knew english as well. We arrived early so our room wasn't ready, but they let us store our bags, and then put them in our room before we returned which was nice. We had the non-sky tree view room which was still excellent. Wifi did play up a bit, but was overall pretty good. TV is Japanese, BUT it has the netflix app so you can sign in with your login if you have one. Breakfast is good but is mainly asian based, and limited english options, which gets a bit boring after a few days, but I would still get it included with the booking if I was to stay again. Hotel is about 7mins walk from two main train stations which is great! Shopping malls in the area are ok. There are a lot of eating options available in the area, ask the hotel staff for maps restaurants etc. There are no washing machines on site, but there's about 3 self service laundromat located closes by (wash and dry takes about 50mins). Walking distance to sky tree, then sky tree to Asakusa is walking distance again. I would definitely recommend and stay at this hotel again.","Wellington, New Zealand","Capta1nAwes0me</div><div class=""userLoc""><strong>Wellington, New Zealand</strong>",14,5.0
737204172,https://www.tripadvisor.com/Hotel_Review-g1066459-d1083549-Reviews-Tobu_Hotel_Levant_Tokyo-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tobu Hotel Levant Tokyo,"January 5, 2020",Stayed for three nights on the 11th floor. Room provided a great view of the Skytree which was certainly spectacular at night as its lights constantly changed colour. The room seemed to be different to the photo on the website and was much tighter with three beds than the photo suggest. Short walk to local JR and subway stations so easy to get in and out of Tokyo. Breakfast was pretty good with choice of western and local dishes. We booked Disney shuttle but as aour grandscon was not feeling well we missed morning departure and we did noy feel like waiting for 7:20 return piack up and used our JR passes instead. 7-11 store and lots of eating places nearby. Stff were very courteous as would be expected.,"Melbourne, Australia","David S</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",301,4.0
736695490,https://www.tripadvisor.com/Hotel_Review-g1066459-d1083549-Reviews-Tobu_Hotel_Levant_Tokyo-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tobu Hotel Levant Tokyo,"January 3, 2020","Stayed 8 nights. Almost two hour bus/limousine from Narita airport. Yes, it’s close to train station but far from everyplace you want to go with the exception of the sky tree tower. Seemed extremely far (even by train) from many sites you would not want to miss.Beds and pillows were rock hard, tiny and uncomfortable. Ceiling was paper thin and we heard noises from room above all night. Complained each night about what seemed like jumping or marching in room above-desk staff didn’t help and didn’t offer to move rooms. Lost sleep every night and was woken up every morning.No concierge on 5 of our days-not helpful if visiting from another country. No gift shop, very little common space to sit or meet.Room had four beds but only one tiny closet with two drawers- had to live out of suitcases and there wasn’t even room for them. The only good thing about this hotel was the view of the sky tree. I would not stay here again under any circumstances.",,marcbZ9252PL,0,2.0
735421828,https://www.tripadvisor.com/Hotel_Review-g1066459-d1083549-Reviews-Tobu_Hotel_Levant_Tokyo-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tobu Hotel Levant Tokyo,"December 29, 2019","We stayed for 3 nights here and the hotel was very good. Huge rooms for Tokyo with very comfortable beds.The breakfast buffet was amazing, a great mix of local and Western food with lots of things to try.We had an amazing view from our room to Tokyo Skytree.My only complaint is that that concierge team were unable to get us a taxi to fit us and our luggage and we were very close to missing out train. They must know the size of the boot in the taxis but seemed shocked our luggage wouldn’t fit!But overall a great stay","London, United Kingdom","freida_moore</div><div class=""userLoc""><strong>London, United Kingdom</strong>",25,4.0
732802169,https://www.tripadvisor.com/Hotel_Review-g1066459-d1083549-Reviews-Tobu_Hotel_Levant_Tokyo-Sumida_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tobu Hotel Levant Tokyo,"December 15, 2019","Tobu Hotel has decent sized rooms. The reception and concierge staff are friendly and helpful. There are free shuttles to Tokyo Disney Resorts but you have to remember to book early. The Airport Limo from Haneda and Narita airports drops off here directly, which really adds to the convenience. Kinshicho metro station and JR station are about 5-10 minutes walk away. There are at least 3 good supermarkets within walking distance. I like the one at the basement of Arcakit building next to the hotel. There is a larger one at the basement of Parco mall. You can walk to Tokyo Skytree within 15-20 minutes. The hotel sells discounted tickets to go to the viewing gallery of Skytree, at better discount than at Skytree itself. Asakusa is also nearby. Ask for rooms with Skytree view.",Singapore,"Steven W</div><div class=""userLoc""><strong>Singapore</strong>",42,4.0
