review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752585360,https://www.tripadvisor.com/Hotel_Review-g1066442-d307395-Reviews-Tokyo_Dome_Hotel-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tokyo Dome Hotel,"April 13, 2020","The location was great as the surrounding areas had much to see especially with shopping, entertainment and eateries. However, during the Winter Break, it was very crowded with Bands performing in the Dome. That's what made the shopping and eating difficult in the area as there were long lines everywhere even for elevators. But, all in all I liked the location.",,808Robbie,0,4.0
749175769,https://www.tripadvisor.com/Hotel_Review-g1066442-d307395-Reviews-Tokyo_Dome_Hotel-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tokyo Dome Hotel,"March 4, 2020","I stayed here for the 59th Miss International pageant that was held at Tokyo Dome. The dome is right next to the hotel so it is very convenient to stay here if you have an event. There are also many function rooms available. The rooms were very spacious, clean - bathrooms are also very big. I have stayed in a lot of hotels in Japan and these rooms are a lot larger than the usual size you find here. Short walk to the shopping centre and amusement park. Buffet breakfast was incredible!! Would definitely recommend to stay here!","Sydney, Australia","193moniquecs</div><div class=""userLoc""><strong>Sydney, Australia</strong>",17,5.0
748719793,https://www.tripadvisor.com/Hotel_Review-g1066442-d307395-Reviews-Tokyo_Dome_Hotel-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tokyo Dome Hotel,"March 2, 2020","We were a group that stayed for about 20 days at the hotel. The location is very convenient for getting around, and the rooms are comfortable and roomy for Tokyo standards. However, the staff were courteous but superficial at best. ",Tokyo,"Aoumiushi</div><div class=""userLoc""><strong>Tokyo</strong>",16,3.0
743190612,https://www.tripadvisor.com/Hotel_Review-g1066442-d307395-Reviews-Tokyo_Dome_Hotel-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tokyo Dome Hotel,"February 5, 2020","Hotel rooms and in fact the entire hotel is extremely clean. I was attending a quilt show at the Tokyo Dome, which was just next door. Breakfast was very good and a large choice was available. During busy periods, there could be queues for breakfast and for the lifts. The hotel is used to dealing with international visitors and had signs/information available in English. The hotel is situated very close to a metro station, meaning that you could easily travel around Tokyo from here. There is lots to see and do in the Bunkyo area e.g. an amusement park, La Qua shoping centre and nearby gardens. There are also a wide variety of shops located here including a Don Quixote which is open 24hours a day. Lots of restaurants in the area. Felt the hotel bar and restauraunt were very over-priced, so went out for meals and drinks.","Ennis, Ireland","Pennywell</div><div class=""userLoc""><strong>Ennis, Ireland</strong>",12,5.0
741488170,https://www.tripadvisor.com/Hotel_Review-g1066442-d307395-Reviews-Tokyo_Dome_Hotel-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tokyo Dome Hotel,"January 26, 2020","We stayed at the dome hotel in Tokyo as the quilt show was next door, the hotel was very good in cleanses but they charge you for drinking water in the room and any coffees or tea you use. No spoons and no milk providing and we asked reception if we can have some milk in the room for tea and they wanted 850 yen to charge us.Also there was no place to sit in reception areas so you have to go in the room for a chat with a friend, tv. Couldn’t get BBC NEWS AND NO ENGLISH .","Athens, Greece","Minarog</div><div class=""userLoc""><strong>Athens, Greece</strong>",0,3.0
738072123,https://www.tripadvisor.com/Hotel_Review-g1066442-d307395-Reviews-Tokyo_Dome_Hotel-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tokyo Dome Hotel,"January 9, 2020","For pure convenience when attending two nights of Wrestle Kingdom at the Tokyo Dome, this hotel can't be faulted.The area has plenty of options for food, albeit with a western feel (with such names as Taco Bell & TGI Fridays).The room was spacious, with a large bathroom and bed comfortable. Would definitely recommend if heading to the Dome or Korakuen Hall for events.",,StephenGutteridge,4,5.0
735796508,https://www.tripadvisor.com/Hotel_Review-g1066442-d307395-Reviews-Tokyo_Dome_Hotel-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tokyo Dome Hotel,"December 30, 2019","This is a big hotel. Located next to Tokyo Dome. During our stay there's few event at the Dome, so it's quite crowded and a bit challenge to walk around. The room is modern and clean but rather small, our room located at 34 floor. Especially if we have 2 big luggages. Check in time 3pm, check out 11am, we can't request late check out even for 1 hour due to fully book on New year's eve. From Haneda airport i took bus and got down directly at the hotel lobby. And from hotel we bought the bus ticket to Haneda airport as well. Very convenient. Per pax cost ¥1150 per trip. To go Shinjuku shopping area, only 2station using JR line. ","Singapore, Singapore","7Deewee</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",28,4.0
734348173,https://www.tripadvisor.com/Hotel_Review-g1066442-d307395-Reviews-Tokyo_Dome_Hotel-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tokyo Dome Hotel,"December 23, 2019","You could do much worse than stay here. Great location close to trains and many food and shopping options. Lovely large rooms and, as is the case in numerous Japanese hotels, you get a mobile included in the cost which you can also use with Google maps to find your way around.","Bowden, Australia","Barossa-Epicure</div><div class=""userLoc""><strong>Bowden, Australia</strong>",87,5.0
731239795,https://www.tripadvisor.com/Hotel_Review-g1066442-d307395-Reviews-Tokyo_Dome_Hotel-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tokyo Dome Hotel,"December 7, 2019","Stay there many times. Quite a big hotel , excellent service and nearby got many shopping place . No need to think about what to eat , resturant, food court a lot . Kid store and games station also easy found .","Singapore, Singapore","Shirley H</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",14,5.0
729608856,https://www.tripadvisor.com/Hotel_Review-g1066442-d307395-Reviews-Tokyo_Dome_Hotel-Bunkyo_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tokyo Dome Hotel,"November 29, 2019","Nice views of Tokyo Dome (choose the amusement park's side), friendly staff, The hotel is spacious with comfortable rooms. Not far from train station, metro. Restaurant and shopping nearby, you would love your stay.","Montreal, Canada","quocchinht</div><div class=""userLoc""><strong>Montreal, Canada</strong>",7,5.0
