review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
751502946,https://www.tripadvisor.com/Hotel_Review-g14129730-d301389-Reviews-Tokyo_Prince_Hotel-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tokyo Prince Hotel,"March 20, 2020","Love location, rooms, beds, cleaningness, quietness, comfortability, good staffs, everything about hospitality is here, restaurants here has good food, chinese & BBQ, You have a japanese big temple, beside this hotel you can take a walk around which make this hotel very special with historical.","Minato, Japan","emmanueldJ2035AH</div><div class=""userLoc""><strong>Minato, Japan</strong>",0,5.0
751067372,https://www.tripadvisor.com/Hotel_Review-g14129730-d301389-Reviews-Tokyo_Prince_Hotel-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tokyo Prince Hotel,"March 16, 2020","This hotel was an very good choice made by the travel company. The rooms are large and comfortable and there are enough lifts so we did not have to wait a long time to get up to our room or get out or go down to the restaurant. The wide choice of food, occidental and japanese, is excellent and really tasty.A minor minus : you are allowed to expect that body lotion is included in the toiletry but there was not! The view on the Tokyo Tower from our room was a very nice surprise.","Kfar Saba, Israel","Didier G</div><div class=""userLoc""><strong>Kfar Saba, Israel</strong>",57,4.0
748426441,https://www.tripadvisor.com/Hotel_Review-g14129730-d301389-Reviews-Tokyo_Prince_Hotel-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tokyo Prince Hotel,"February 29, 2020","Lovely hotel and location. Room was large with enormous and comfortable bed. Came for grandson's 1st birthday, who lives in Tokyo with our daughter and husband. In the main we were largely unaware of costs, so bring loads of money. Prices in the hotel are eye watering, £7.50 for a coffee, £10 for a half glass of local beer, £25 for a buffet breakfast, £40+ for dinner (all pp). Perhaps I should have researched more but reviews were on the whole good. Unfortunately we are in a commercial neighbourhood and alternatives to the hotel are not really viable.",,chrisjO2804JX,0,3.0
747908723,https://www.tripadvisor.com/Hotel_Review-g14129730-d301389-Reviews-Tokyo_Prince_Hotel-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tokyo Prince Hotel,"February 27, 2020",Overall a great hotel. Rooms are dated (80s style) but well maintained and clean. A little pricey though for standard though... Didn't eat at the hotel other than breakfast as explored the local restaurants (with plenty to choose from). Great location and close to metro and train lines.,"Innsbruck, Austria","G S</div><div class=""userLoc""><strong>Innsbruck, Austria</strong>",4,4.0
744941011,https://www.tripadvisor.com/Hotel_Review-g14129730-d301389-Reviews-Tokyo_Prince_Hotel-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tokyo Prince Hotel,"February 13, 2020",I checked in at 11.50am. They official check in time is 2pm but I would be out. So despite having rooms available they Want you to pay like 50$ more to use the room 1hr earlier . ( apparently 1 pm Is doable for free) I said only if u hv a free room and its done up already can I just leave my stuff and go out ? A firm no with that attitude was the answer .I’m leaving at 6 am in the morning . Isn’t that an early check out ? So can’t u accomadate my early check in?!?Staff seem stressed and used to giving that passive aggressive “can I help you “ kind of talk . I’ve seen them talking to other guests . For a 4 star hotel they hv a 2 star hotel attitude.,"Singapore, Singapore","shalynn_12</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",23,2.0
736458770,https://www.tripadvisor.com/Hotel_Review-g14129730-d301389-Reviews-Tokyo_Prince_Hotel-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tokyo Prince Hotel,"January 2, 2020","This is a very good quality hotel, of course the price is higher. The staff can communicate in English well. It is a bit far from the train station but there is a shuttle bus service for that. But the buffet is nothing special.","Singapore, Singapore","lowbk</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",22,4.0
735315603,https://www.tripadvisor.com/Hotel_Review-g14129730-d301389-Reviews-Tokyo_Prince_Hotel-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tokyo Prince Hotel,"December 29, 2019","Rooms are old and tired, bathrooms paint scruffs and from 50’s..., check in staff/ front desk insufficient in check in handling. We came back 5 days after 1st stay in December and again there was confusion with booking. Price overrated and not in line at all with experience/ expectations. Never again ",,beerinsing,1,1.0
728122385,https://www.tripadvisor.com/Hotel_Review-g14129730-d301389-Reviews-Tokyo_Prince_Hotel-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tokyo Prince Hotel,"November 22, 2019",Stayed here four nights. Rooms are well laid out and views of a Tokyo Tower are terrific. Service is good. Access to most sights is easy with multiple metro stations. Good coffee shop nearby. Are well at nearby Mexican and Italian restaurants to have a break from local fare. ,"Sydney, Australia","amm1055</div><div class=""userLoc""><strong>Sydney, Australia</strong>",116,4.0
724897401,https://www.tripadvisor.com/Hotel_Review-g14129730-d301389-Reviews-Tokyo_Prince_Hotel-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tokyo Prince Hotel,"November 7, 2019","Stayed here for just one night following the rugby World Cup final and had a pleasant experience overall.The hotel is situated in a surprisingly quiet and pleasant location within this busy metropolis and a 10/15 minute walk to the main restaurant/bar areas. We arrived by train (very cheap) from Yokohama and left by train to the airport the following day. The train station was close by - a 15 minute walk - and the service to the airport was fantastic dropping you off straight into departures!The hotel is well presented, the reception we received very welcoming and the rooms are surprisingly large for Japan. They are also clean, spacious and functional.We didn’t eat in the hotel other than at breakfast where there was plenty of choice and the food was good.Would certainly consider next time in Tokyo.","Gloucester, United Kingdom","AlanBmald</div><div class=""userLoc""><strong>Gloucester, United Kingdom</strong>",108,4.0
716155344,https://www.tripadvisor.com/Hotel_Review-g14129730-d301389-Reviews-Tokyo_Prince_Hotel-Shibakoen_Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tokyo Prince Hotel,"October 7, 2019","It was daunting to plan our first trip to Tokyo, so I tediously studied reviews and finally booked our room at the Tokyo Prince Hotel. When we arrived at Haneda Airport we took the easiest, and cheapest route to take: THE MONORAIL - don't be afraid of the train, it is safe and a cheap way to travel. Step one: After leaving customs and immigration, head over to the monorail terminal on the left side. Purchase your ticket to the Hamamatsucho station. I think it's about 800 Yen (or about 8 USD) or chose to get an IC card from the machine and place enough on it for your return - my husband and I put about 1600 YEN on the cards (we bought two for both of us). Take the RED line to Hamamatsucho station - it will be the last stop. Once you arrive, follow the signs to the bus terminals at the station. It's not a far walk, just follow the signs. Get to bus terminal 5, which is at the end of the bus terminal (not far). Wait for the Tokyo Prince Shuttle. They will take you to your hotel for free. They do stop at another hotel, so make sure you get off at the right one! Easy! Check in was a simple process as we made reservations ahead of time, of course. They will take a credit card, but make sure you have cash (YEN) as almost every place will only accept cash. Wait until you change your money once you get to Japan and you may do so at a 7-11 ATM (yes, they have 7-11 everywhere!). We arrived at our room which was beautiful and had a wonderful view. The bathroom was well stocked with needed items, such as razors, toothbrushes, shampoo, etc. They even provided lounge robes for our stay. Everyone was so helpful and our room had a mini fridge, which we stocked well with snacks and drinks from the Lawson market located on the Basement level. We were close to the Tokyo Tower and also the Temple where Wolverine filmed the funeral scene! This made sightseeing easy and fun. I cannot express how truly great this hotel was and we highly recommend Tokyo Prince Hotel! Thank you to the wonderful staff for making our stay Perfect! Arigato!","Phoenix, Arizona","KSSzymanski</div><div class=""userLoc""><strong>Phoenix, Arizona</strong>",44,5.0
