review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
744970323,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tokyu Stay Aoyama Premier,"February 13, 2020","Chosen for proximity to business meeting this hotel is placed a bit out of the way. Very few restaurants in the neighbourhood so too out of the way. The rooms are as small as always in Tokyo, but clean and with what is needed. The staff is very helpful; free flowing soft drinks and beer in the lobby. ","Den Bosch, The Netherlands","TroelsJ61</div><div class=""userLoc""><strong>Den Bosch, The Netherlands</strong>",73,4.0
733895902,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tokyu Stay Aoyama Premier,"December 21, 2019","Positives include location (convenient to subway, restaurants, several of Tokyo’s best sightseeing spots), view of the city and cost if booked well in advance. Having been pleased with the rooms based on two previous stays this time we were very disappointed with the level of cleanliness of the room, -VERY dusty and a constant sewage smell in the bathroom.","Kelowna, Canada","warren444</div><div class=""userLoc""><strong>Kelowna, Canada</strong>",0,2.0
728366551,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tokyu Stay Aoyama Premier,"November 23, 2019","I had stayed here 4 days and have a great impression about the hotel. It's a pure business hotel and one should not expect a typical hotel ambience.The hotel is managed such that almost everything is self sufficient in the rooms.Do not stay at this hotel if you wish to be pampared. It's great place people on business, people on vacations / holiday may have a different impression. Overall good opinion and recommended.","Mumbai, India","george_justin_mathew</div><div class=""userLoc""><strong>Mumbai, India</strong>",37,5.0
726461354,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tokyu Stay Aoyama Premier,"November 14, 2019","A simple , honest and moderately priced hotel for Aoyama. Good breakfast and good service. Small rooms with few amenities. Ok for a short stay. Location is really good. Very clean. Best for short business trips.","Colle Umberto, Italy","Antonio B</div><div class=""userLoc""><strong>Colle Umberto, Italy</strong>",9,3.0
690070613,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto-or0.html?filterLang=en,Tokyu Stay Aoyama Premier,"July 16, 2019","Perfect location, right next to very hipster neighbourhood and metro. Tons of trendy cafes and boutiques around in Harajuku. Small french cafe Citroen around the corner was especially nice for breakfast, good value too. Great views from the room, on 22nd floor. Vast choice of amenities incl. free coffee and beer. Great hot water pressure! It was quite clean, one could chose if to have the bed made up and room cleaned next to towel exchange, but there was tons of very visible dust above the bathroom lamp that stayed there till I cleaned it myself. ","Oslo, Norway","_Da83Di_</div><div class=""userLoc""><strong>Oslo, Norway</strong>",51,5.0
672359064,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tokyu Stay Aoyama Premier,"May 7, 2019","What more could you ask for! Service is very good in this quiet, well appointed hotel. The rooms are a good size, clean and you can choose whatever amenities you want at reception. We had a kitchenette and washing machine in our room. Hotel is close to the metro and convenience stores. Wasn't a huge fan of the breakfast but it was optional.","Melbourne, Australia","KerrieJ</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",2,4.0
672034487,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tokyu Stay Aoyama Premier,"May 7, 2019","I had an excellent stay here. The room is small but clean, has heating/air con, and my room had a washing machine! The breakfast buffet is fantastic and has a variety of foods. The location is excellent as it is very easy to get to Shinjuku and Shibuya.","Melbourne, Australia","Katbot56</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",37,5.0
667310638,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tokyu Stay Aoyama Premier,"April 17, 2019",Stayed for a week instead of the regular chain hotels. Room was small and clean as expected. Toiletries were available in the lobby. Breakfast wasn’t included and available as extra. Room had microwave and a hot plate with small refrigerator. WiFi was good. Housekeeping needs to be requested with full or partial meaning towel and trash only service by placing magnetic sign outside room door by 11 am. Stayed at the Aoyama location to stay away from busy tourist areas. 1 block from Ginza line station. 24hr supermarket and convenience store within the block. ,San Diego,"o2mpx</div><div class=""userLoc""><strong>San Diego</strong>",44,4.0
658702530,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tokyu Stay Aoyama Premier,"March 15, 2019","it is small for western people but its quite, and clean and it teach you how to be organize in small place. people where very nice specially a gentleman in the reception who walked with me to the taxi and took care of all details for my trip to the airport.",madrid,"G1976Madrid</div><div class=""userLoc""><strong>madrid</strong>",7,5.0
656551782,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto-or5.html?filterLang=en,Tokyu Stay Aoyama Premier,"March 5, 2019","Very near Shibuya stations, crossings and the hatchiko statue.(walking distance).Clean room, all you need for a short stay, has own washers and free detergents.comfy bed new linens.However no complimentary water or coffee and tea.","Singapore, Singapore","Jing112313</div><div class=""userLoc""><strong>Singapore, Singapore</strong>",3,3.0
619887505,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Tokyu Stay Aoyama Premier,"September 26, 2018","The check-in process went very quickly. The hotel room was very clean but fairly small. The room also comes with washer/dryer and microwave. The hotel is also close to several convenience stores. Another plus was the hotel was near by the metro station.Overall, it was a great stay at the Tokyu Stay Aoyama Premier.","Torrance, California","graphic21</div><div class=""userLoc""><strong>Torrance, California</strong>",29,4.0
615728021,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Tokyu Stay Aoyama Premier,"September 11, 2018","This hotel apartment is located in great location, surrounded by stylist shops and good restaurants. Room size is big compare to standard Japanese hotel. Room Facilities (Small kitchen with kitchenware) is perfect for family group.",,Vitchukorn C,0,5.0
607725834,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Tokyu Stay Aoyama Premier,"August 18, 2018","Reasonable priced hotel, size is normally small for Tokyo, doesn’t really bother us. Cleaniless is good, free drinks at lobby is superb, everything is well equipped. Very satisfied with overall of this hotel. Location is something that can be a gem for this hotel. 3-4 minutes walk to Ginza Line, can go everywhere, very convenient! Nearby has many eatery, few convenient store and two supermarkets which is a plus!","Tokyo, Japan","Fritzloh</div><div class=""userLoc""><strong>Tokyo, Japan</strong>",10,4.0
576991258,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Tokyu Stay Aoyama Premier,"April 30, 2018","Starting from a super location, near Gaiemmae metro station to an unprecendented hotel service and the concierge who was extremely motivated to help. The room was a bit tiny for western standards, but pristine and well equipped. Definitely reccomend","Split, Croatia","Striksy</div><div class=""userLoc""><strong>Split, Croatia</strong>",35,5.0
575958905,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto-or10.html?filterLang=en,Tokyu Stay Aoyama Premier,"April 26, 2018","First off, I'd recommend the hotel and we'd probably stay there again, but there are opportunities for some improvement.We stayed for 12 nights, went as a couple and booked a superior room.What was really good: The location was excellent. It's not at a Yamanote line station, but you can get around really good with the Ginza Line (and Shibuya is only two stops away). The neighbourhood it's located in is really nice and you can walk to Harajuku in 10-15 minutes.The view from our room (we stayed in the 25th floor) was excellent! You get really spoiled going to bed with the whole city in front of you.The beds are really comfortable. The pillows are ok, but after a day in Tokyo you should be able to sleep well anyways. You have lots of restaurants within minutes from the hotel. Right next to the hotell there is a French place called Citron that's really good for breakfast, lunch and a light dinner and just around the corner you have three convenient stores (one of them is open 24hrs). Cleaning was excellent, really nice!Not so good:You can easily hear people in the hall. Not that it happened that much, but worst case, you hear drunk people talking away in the middle of the night when they get home after a night out. You should be fine if you're a deep sleeper, but I got woken up a lot thanks to this. Same goes for sounds from outside. Again, doesn't happen a lot, but firetrucks, police etc are easy to hear when the alarm goes off. The bathroom has everything you need, shower has great water pressure etc, but its the average plastic cubicle you find in most Japanese non-five star hotels. Overall: I'd definitely stay here again; the price, location, view and the fact that you have a kitchenette and washing machine (that's really easy to use and has a built in dryer) makes all the difference. The room was fairly big in comparison with other hotel rooms we've stayed in, so that was nice too. Have a nice trip!","Stockholm, Sweden","ARL S</div><div class=""userLoc""><strong>Stockholm, Sweden</strong>",9,4.0
568591255,https://www.tripadvisor.com/Hotel_Review-g1066451-d1115512-Reviews-Tokyu_Stay_Aoyama_Premier-Minato_Tokyo_Tokyo_Prefecture_Kanto-or15.html?filterLang=en,Tokyu Stay Aoyama Premier,"March 25, 2018", I stayed at this hotel for two nights when I first arrived in Japan from overseas. I asked for a room above the 20th floor on the southside so I could get a good view which was spectacular. The room was simple but very comfortable. Staff at the front desk were very helpful. There is an area for lounging in the lobby which provides free coffee and beer. There is also an excellent breakfast buffet at a small cost which I highly recommend. And location is fabulous- within minutes to Shibuya crossing by subway 1 stop. I will return to this hotel at the end of my trip and I highly recommend it.,Toronto,"esteban55</div><div class=""userLoc""><strong>Toronto</strong>",24,5.0
