review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752016913,https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Trump International Hotel Waikiki,"March 29, 2020","My wife and I stayed in the one bedroom with a den room, ocean view and 2 separate bathrooms. There was a full kitchen plus a washer and dryer (no need to over pack) in the room. The hotel is within walking distance of high-end shopping and 3 ABC Stores for daily supplies. The staff is extremely helpful (especially Dean, in valet). The hotel is expensive but Costco offers some great incentives and discounts.","Las Vegas, Nevada","gsmith6313</div><div class=""userLoc""><strong>Las Vegas, Nevada</strong>",4,5.0
744346330,https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Trump International Hotel Waikiki,"February 11, 2020","My husband and I stay at the Trump International in Waikiki about 4 times a year. We love this hotel! This is truly a 5 star hotel! Every aspect of the Trump is wonderful -- outstanding staff, great location, wonderful accommodations, delicious food, first-rate spa, and a culture that truly works for those who choose to stay here.","Summit, New Jersey","HMRNJ</div><div class=""userLoc""><strong>Summit, New Jersey</strong>",5,5.0
751119733,https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Trump International Hotel Waikiki,"March 16, 2020","The service by all the staff at the Trump International is impeccable. They are so friendly and helpful. I never encountered a staff member who was not smiling, from the front desk to the person bringing us extra waters to our rooms. The room layout is amazing, beautiful bathrooms with Italian marble, the ocean view room has such a great layout that when you sit on the couch, you have a 100% ocean view even though standing on the balcony your view is tilted to half being the ocean and half being the city, you get it all! The rooms also come with a refrigerator that they will daily (or if you call) and all the necessities you could want should you want to cook (silverware, pots, pans, blender, you name it...) and they wash your dishes for you daily. The complimentary beach bags with towels and fruit is also a great convenient service they offer. Buffet breakfast was delicious as well. Best hotel I’ve stayed at in Waikiki.","Lake Forest, California","SamuelS22531</div><div class=""userLoc""><strong>Lake Forest, California</strong>",0,5.0
751025992,https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Trump International Hotel Waikiki,"March 15, 2020",Staff was friendly and welcoming- they were always available to assist when needed. They were very accommodating to our babysitter when she arrived which was appreciated. They responded to our needs in a timely fashion. The rooms and beds were comfortable. The sunset view was beautiful. Walking distance to the beach <5 minutes. We had no negatives during our stay.,,heatherpena31,0,5.0
751006748,https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Trump International Hotel Waikiki,"March 15, 2020",Excellent hotel and location.....great experience as usual! Been staying there for the past 9 years.....never a disappointment. By far the best hotel in Waikiki by far. Try to experience Trump Waikiki at least once a month! Keep up the good work!!,,battiki,0,5.0
750446882,https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Trump International Hotel Waikiki,"March 11, 2020","The greeting, overall service and location could not have been better. The hotel is very close to the Derussy beach area, which was a lot quieter and pleasant compared to Waikiki beach next to it. All staff were particularly friendly and helpful. Really made our 40th birthday celebration.",,JDMJohnstone,0,5.0
749346421,https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Trump International Hotel Waikiki,"March 5, 2020",Have to say this is the best and most friendly service we’ve ever received in any hotel around the world cannot fault the place we had an amazing time and weren’t happy to leave. We’ll definitely be back ,"Sydney, Australia","C344GNstevena</div><div class=""userLoc""><strong>Sydney, Australia</strong>",2,5.0
748620458,https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Trump International Hotel Waikiki,"March 1, 2020","Room was roomy. Mattress was not so good. Shower was weak, and it's not easy to control the temperature of the shower.Location is not very close to the main Waikiki road. Facility is not so great. It's not as luxury as I expected.","Seoul, South Korea","0taeeh0thc</div><div class=""userLoc""><strong>Seoul, South Korea</strong>",1,4.0
747598645,https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Trump International Hotel Waikiki,"February 25, 2020","We had a great week. Kelly is one of the best bartenders I have found, she makes an incredible Mai Tai. The room was incredible--great view, heated toilet seats huge walk-in shower. Convenient to the beach.",,kmacassoc,0,5.0
746722849,https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Trump International Hotel Waikiki,"February 22, 2020","The room was spacious with 2 bedrooms, a kitchen, 2 living spaces and a balcony overlooking the Pacific Ocean. The spa treatments were excellent. Although the workout room is rather small, it is clean and relatively well equipped. The food was very good.",,austinkimh,0,5.0
744025120,https://www.tripadvisor.com/Hotel_Review-g60982-d1484551-Reviews-Trump_International_Hotel_Waikiki-Honolulu_Oahu_Hawaii-or10.html?filterLang=en,Trump International Hotel Waikiki,"February 9, 2020","From our arrival to our departure we felt pampered. Maiko was our greeter. She brought us cold cloths, ice water and kukui & shell leis. We had the rise & dine package. Every day started with a beautiful breakfast buffet. The In-Yo Cafe has an excellent staff. We had such excellent service by: Krislyn, Dennis, John, Harry, Shaq and others. They were always smiling and working hard. If we had travel questions they helped with those also. I wish I knew the names of the omelet chefs, the omelets were delicious! We utilized the concierge department also. Yuki and everyone there were always ready to assist us. Yuki gave us maps and great ideas for places not to miss. We enjoyed a few happy hours and dinners in the Wai’olu restaurant and had great servers. The Pool & Fitness Center were always clean and staffed with great people as well. We had a partial-ocean view room. It is 500 sq. Feet. Very comfortable with a kitchen as well. The housekeeping staff is phenomenal. We just called each day when we were going out and our room was spotlessly cleaned right away. Bottled water is always stocked. We were celebrating our Anniversary, sparking wine and Honolulu cookies awaited us in our room also. The Waikiki area is extremely busy, which made coming back to the relaxed atmosphere of the Trump so wonderful. The Trump is fantastic and the staff makes it Outstanding!","Minneapolis, Minnesota","SueSR473VG</div><div class=""userLoc""><strong>Minneapolis, Minnesota</strong>",18,5.0
