review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
749684384,https://www.tripadvisor.com/Hotel_Review-g60763-d220243-Reviews-W_New_York_Union_Square-New_York_City_New_York-or0.html?filterLang=en,W New York - Union Square,"March 7, 2020","The hotel is in pretty good shape overall, but it could use renovation. We were told that it is slated for a make-over. The staff were friendly and the hotel's location is great, with easy access to public transportation. My major problem was the mattress, which seemed to be well used. It was exceedingly soft and provided no support. I developed severe lower back pain after two nights. Avoid staying at this hotel if you have any issues with your back.","New York City, New York","icek127</div><div class=""userLoc""><strong>New York City, New York</strong>",0,3.0
747683563,https://www.tripadvisor.com/Hotel_Review-g60763-d220243-Reviews-W_New_York_Union_Square-New_York_City_New_York-or0.html?filterLang=en,W New York - Union Square,"February 25, 2020","Perfectly located right on union square. The hotel delivers exactly what you expect from a W. Good service, clean room, nice assortment of toiletries. Easy check in and and great restaurant on the ground floor. ","Kentfield, California","mrose20</div><div class=""userLoc""><strong>Kentfield, California</strong>",29,5.0
747424123,https://www.tripadvisor.com/Hotel_Review-g60763-d220243-Reviews-W_New_York_Union_Square-New_York_City_New_York-or0.html?filterLang=en,W New York - Union Square,"February 24, 2020",We went into the city for a late Valentine's Day celebration mid-week. Room was fantastic but room service was too pricey. We had vouchers thankfully. Omelet looked like it was made from only one egg - smallest I have ever seen. We were allowed a late checkout and everyone was cordial.,"Sound Beach, New York","William J</div><div class=""userLoc""><strong>Sound Beach, New York</strong>",4,4.0
746079998,https://www.tripadvisor.com/Hotel_Review-g60763-d220243-Reviews-W_New_York_Union_Square-New_York_City_New_York-or0.html?filterLang=en,W New York - Union Square,"February 19, 2020","We stayed at the W for 4 nights and it has a great location in Union Square - perfect if you like to be somewhere a little quieter, away from the real tourist hotspots yet close enough to everything. The hotel itself is dated from the reception area to the rooms, although it’s clean comfortable and user friendly. We were upset and surprised they cancelled access to our sons’ room after 2 nights as there was no credit card on the room- we had presumed both rooms were on our room credit card and this had worked fine for the first 2 nights. This caused confusion and delay in getting to bed fairly late one evening and was unnecessary and draconian. This was probably because our agent, Virgin holidays didn’t get our booking right, but that’s another story. I’m also still unsure why there is a daily credit card charge of 25 dollars for incidentals from the mini bar and room service, but we don’t really use either.The Irvington restaurant and bar are good, trendy and efficient and I’d recommend both. I just wish the rooms in the hotel had the same look and feel as they really are in need of a complete upgrade and make over. There is no Nespresso/ coffee machine in the room, but there is coffee offered at reception instead. Not ideal if you want an early morning cuppa in your PJ’s! We had to move room after the first night as we only had one of the two suites we’d booked and we were left to move all our luggage despite the hotel saying they would do this. The door staff are also a bit hit and miss - sometimes the heavy entrance door is held open for you and sometimes they leave you to struggle through - neither are big issues but it does leave the impression that this isn’t really a 5 star hotel. Would we come back? If the rates were much lower possibly and maybe if we booked direct, as the location is good and the beds comfy, however we paid top dollar for a five star hotel and holiday experience as recommended by Virgin holidays. They do need to revisit some of their recommendations and overall customer service. I suspect there are better options if you do your research. We would never use Virgin holidays again for a number of reasons, but that’s not the hotels fault. All in all it’s not a bad hotel at all - just not typical of the W brand and what you expect from it, so just be aware of that before you stay. ","Harpenden, United Kingdom","dorisgrimby</div><div class=""userLoc""><strong>Harpenden, United Kingdom</strong>",12,3.0
744763482,https://www.tripadvisor.com/Hotel_Review-g60763-d220243-Reviews-W_New_York_Union_Square-New_York_City_New_York-or0.html?filterLang=en,W New York - Union Square,"February 12, 2020","Flight arrived late at night and I needed room service. The phone was not working in the room, so I called via my cell phone. Front desk said they would call back and never did. Went down to the front desk in desperation and they refused to help. No apology, just “our order guy is out so too bad for you.” This was the night managers response as well as the morning manager and the check out clerk. It felt like they were all going out of their way to be rude and offer no apology. No concierge level at this Marriott affiliate either. The room was surprisingly nice compared to the dingy hallway and lobby, and they eventually fixed the phone. Frankly, there are MANY hotels in NYC at this price point, so be sure to chose another one.","San Francisco, California","cdptraveler</div><div class=""userLoc""><strong>San Francisco, California</strong>",42,1.0
744027364,https://www.tripadvisor.com/Hotel_Review-g60763-d220243-Reviews-W_New_York_Union_Square-New_York_City_New_York-or5.html?filterLang=en,W New York - Union Square,"February 9, 2020","I've been staying off and on at this W Hotel for five years now. The team are very New York, meaning that they are quick and sometimes aren't as friendly as other W Hotels around the world. Except for Magy Carty who always greets me with respect and makes me feel grateful for me choosing that W Hotel in Manhattan. I wouldn't continue to bing my business to this W if it weren't for Magy. She is truly an asset. We will see you soon Magy!",,cjohno87,1,5.0
743985304,https://www.tripadvisor.com/Hotel_Review-g60763-d220243-Reviews-W_New_York_Union_Square-New_York_City_New_York-or5.html?filterLang=en,W New York - Union Square,"February 9, 2020",Fantastic Hotel. Great Views. Great Location. Close to everything but not overcrowded. Hotel Staff extremely friendly and accommodating. Room has all the amenities you need. Clean. Comfortable Beds. Great bathroom and water pressure and shower. Complimentary Coffee and Hot Apple Cider in the lobby welcome you. Definitely we will be back,,aasta492,0,5.0
743061188,https://www.tripadvisor.com/Hotel_Review-g60763-d220243-Reviews-W_New_York_Union_Square-New_York_City_New_York-or5.html?filterLang=en,W New York - Union Square,"February 4, 2020","Nice hotel, great location for our needs! Nelson at the Front desk took very good care of us at check-in. We have stayed here many times in the past few years. Due to our Platinum Elite status we were upgraded to a room on 21st floor. Room was clean, bed comfortable,very spacious & most importantly it was quiet.. I believe I read somewhere that the hotel is due for a big renovation.",CT,"LUVSTKITTS</div><div class=""userLoc""><strong>CT</strong>",15,4.0
741404500,https://www.tripadvisor.com/Hotel_Review-g60763-d220243-Reviews-W_New_York_Union_Square-New_York_City_New_York-or5.html?filterLang=en,W New York - Union Square,"January 26, 2020","Typically I do not choose W, as I prefer Westin properties for business. I chose this hotel as it was a Marriott brand near our business meetings.The check in was smooth, but no mention or offer for my Platinum Elite status.Hotel is clean, but bathrooms are datedOnly one option for food on property Decent room service menu options Loved having a mini bar as most hotels these days don't have them.","Longwood, Florida","RichardGilliland83</div><div class=""userLoc""><strong>Longwood, Florida</strong>",26,4.0
741043916,https://www.tripadvisor.com/Hotel_Review-g60763-d220243-Reviews-W_New_York_Union_Square-New_York_City_New_York-or5.html?filterLang=en,W New York - Union Square,"January 24, 2020","The hotel was in a great location but the hotel staff was not helpful. Coffee pots were not available, I was overcharged for my room and had to call too many times to get it fixed and got a big run around. I was charged for the mini bar that was to be credited for 25 dollars. The bed was not comfortable but I could have lived with that. This hotel is supposed to be in the Marriott chain and that is surprising as it’s lacking the amenities and staff that we used to from Marriott. ","Lansdale, Pennsylvania","MDC0719</div><div class=""userLoc""><strong>Lansdale, Pennsylvania</strong>",5,2.0
