review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
755272916,https://www.tripadvisor.com/Hotel_Review-g60982-d214683-Reviews-Waikiki_Beach_Marriott_Resort_Spa-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Beach Marriott Resort & Spa,"May 20, 2020","Pros The location is great, next to the beach, rooms are great sized, a little bit of noise, nice buffet breakfast, shops are nice and there are lot of stores.ConsAcross the street from the beach, the parking garage is small and it is 37 dollars and the swimming pool is okay.Overall I am definitely going to come back whenever I am in Hawaii or Waikiki. ","Huntington Beach, California","emergencyexit84</div><div class=""userLoc""><strong>Huntington Beach, California</strong>",1,5.0
751024759,https://www.tripadvisor.com/Hotel_Review-g60982-d214683-Reviews-Waikiki_Beach_Marriott_Resort_Spa-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Beach Marriott Resort & Spa,"March 15, 2020",This hotel has a great location and it is walkable just across the street to the beach. It is surrounded by many restaurants and they are also easy access. The hotel is beautiful inside and all of the staff were very kind and accommodating. We had a wonderful stay as we celebrated my husband's 60th birthday. So that'll give them the,"Annapolis, Maryland","janicepk</div><div class=""userLoc""><strong>Annapolis, Maryland</strong>",174,5.0
750016528,https://www.tripadvisor.com/Hotel_Review-g60982-d214683-Reviews-Waikiki_Beach_Marriott_Resort_Spa-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Beach Marriott Resort & Spa,"March 9, 2020","Firstly, I strongly recommend everyone to book through Marian in Reservations. She was unbelievable in making sure our reservation was spot on (we had 3 rooms and wanted them together). Her responses to my emails etc was truly above and beyond. It is the BEST experience I have ever had when making a hotel reservation and she is a true ambassador on behalf of the hotel.Secondly, the rooms. We normally stay at the Moana Surfrider in one of their suites but no more. We stayed in the newly renovated suite with adjoining rooms on level 17 of the Kealohilani tower (closest to the beach). The room was huge with not 1 but 3 balconies. We had 2 x toilets, 2 x baths and a huge living area. The views over Waikiki beach especially at sunset were picture perfect. We got plenty of sun and the rooms were just fantastic. Again I would prefer these suites compared to the Moans Surfrider suites.The Moana Terrace is perhaps the best spot to watch the sunset over a drink. I am a very keen photographer and visited a number of other locations ie Tiki Bar, The Deck etc, but the Moana Terrace was the best. The food and drinks were reasonable. The Kealohilani pool deck area is being renovated and closed on the last day we were there. There is a second pool on the same level (level 3) located in the other tower. this had just been renovated and was great.D.K. Steakhouse in the hotel is the best steakhouse in Waikiki by far.If you are wondering why I have not given the hotel 5 x stars is because of the reception staff. Upon arrival, their internet was down so we could not check in and we had to wait. Also I had issues with the bill which took ages to remedy - hence the 4 star rating.I must also mention ""buster"" who helped with our bags. What a great ambassador of the hotel. Both my wife and I were left amazed by his zest for life, his passion for his job and love of the hotel. Both him and Marian are a credit to the Marriott name.I would highly recommend staying at the hotel (Kealohilani tower) for the following reasons:Huge roomsGreat viewsNewly renovatedGreat locationGreat restaurants in the hotelABC shop in the foyerGreat Pool Bar and Terrace andGreat sunset views","Sydney, Australia","SydneyTraveller_2008</div><div class=""userLoc""><strong>Sydney, Australia</strong>",270,4.0
749612202,https://www.tripadvisor.com/Hotel_Review-g60982-d214683-Reviews-Waikiki_Beach_Marriott_Resort_Spa-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Beach Marriott Resort & Spa,"March 6, 2020","I stayed here for a week. Very good location, great staff and amazing views. A few of the restaurants we good+. My room with a view of the beach and the large gallery were a big plus. Views of the beach and Diamond Head made for amazing sun rises and sunsets.","Montreal, Quebec, Canada","Lloyd M</div><div class=""userLoc""><strong>Montreal, Quebec, Canada</strong>",3,4.0
749360994,https://www.tripadvisor.com/Hotel_Review-g60982-d214683-Reviews-Waikiki_Beach_Marriott_Resort_Spa-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Beach Marriott Resort & Spa,"March 5, 2020","This uniquely designed resort has everything you could possibly want. The people and staff were friendly and helpful. Even with the renovation, the minor noise didn’t detract from our wonderful time! It was also incredible to sit in the lobby of the hotel while sitting outside at the same time!","Destin, Florida","lalabull2014</div><div class=""userLoc""><strong>Destin, Florida</strong>",1,5.0
748762160,https://www.tripadvisor.com/Hotel_Review-g60982-d214683-Reviews-Waikiki_Beach_Marriott_Resort_Spa-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Beach Marriott Resort & Spa,"March 2, 2020","The Waikiki Beach Marriott had everything I needed. My check-in experience with Janeen was great and I loved that she was so patient with me when I forgot one of my documents. The hotel has 1300 rooms, but throughout the stay I didn't feel like I was staying in a busy/large hotel. The lobby is great for lounging. I also love that they provide reusable water bottles for the re-fill station in the lobby. Also thank you to Skai, who sent up some goodies for me and my boyfriend's birthdays.",,jillianj225,0,5.0
748048001,https://www.tripadvisor.com/Hotel_Review-g60982-d214683-Reviews-Waikiki_Beach_Marriott_Resort_Spa-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Beach Marriott Resort & Spa,"February 27, 2020","I am extremely disappointed with this hotel. I made an error in booking and within 3 minutes tried to change it. The hotel never returned Expedia request to not charge me the one night fee but i noticed after two weeks of ignoring me, they put through a charge of nearly 400$. I will never recommend this and will try not to stay with this hotel chain again. I have never had this issue in any hotel around the world I gave stayed at and thought much higher of the Mariott chain until now. Must be hard up for customers so they need all the money they can get. Short sighted, considering I will repost this on so many sites .",Penticton,"320seanm</div><div class=""userLoc""><strong>Penticton</strong>",10,1.0
748034648,https://www.tripadvisor.com/Hotel_Review-g60982-d214683-Reviews-Waikiki_Beach_Marriott_Resort_Spa-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Beach Marriott Resort & Spa,"February 27, 2020","The Waikiki Beach Marriott Resort & Spa is a great hotel. We are Ambassador Elite Marriott members, so it takes a lot to impress us. But impress us the Marriott did! Fantastic room (we upgraded to an ocean front junior suite, and it was fabulous!), friendly and accommodating staff that were ready to answer even the simplest question, and a great selection of restaurants to choose from.","Gilroy, California","strazpdj</div><div class=""userLoc""><strong>Gilroy, California</strong>",1,5.0
747257593,https://www.tripadvisor.com/Hotel_Review-g60982-d214683-Reviews-Waikiki_Beach_Marriott_Resort_Spa-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Beach Marriott Resort & Spa,"February 23, 2020","Great location with walk distance to the beach, restaurants and shopping malls.The rooms are quite old, which seriously needs renovation.The front desk staff are very technical and experienced when comes to upscale.","New York City, New York","K W</div><div class=""userLoc""><strong>New York City, New York</strong>",1,4.0
746440145,https://www.tripadvisor.com/Hotel_Review-g60982-d214683-Reviews-Waikiki_Beach_Marriott_Resort_Spa-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Beach Marriott Resort & Spa,"February 20, 2020","I truly wanted to rave about this place. It was easy to get to, checkin was a breeze, nice rooms with tasteful decor, room service, very nice staff . But, from 10pm-until about 1am (which could have been longer but I passed out) the hotel is LOUD. People were still in the pool past 10pm. Kids screaming and running down the halls. No installation as I could clearly hear the family enter the room next door as the husand told the wife their kid pooped his pants and it leaked through the hallway. You can hear full conversations outside and as Ilooked out on the balcony kids still screaming and splashing in the pool. I am a hawaii resident I have stayed at most hotels in Waikiki and being that it is Waikiki you can expect some noise, especially from the outside but there is no sound proofing on the inside. I also can’t find anything anywhere about quiet times and being respectful after hours. Just a bummer as I love the Marriot but I also need sleep. ","Kauai, Hawaii","Morrismommy</div><div class=""userLoc""><strong>Kauai, Hawaii</strong>",21,3.0
