review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752691107,https://www.tripadvisor.com/Hotel_Review-g60982-d114031-Reviews-Waikiki_Beachcomber_by_Outrigger-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Beachcomber by Outrigger,"April 16, 2020", We approached the concierge for help to get some trips and places to go. We had not read up on what we wanted to do. we listened to her and choose some trips .  the two other chooses were great but when we lounged a complaint she would not do anything about it  we tried to get her to get us a refund and also she had misinformed us about the limo cost stating it was part of the deal. It was not as per broucher. We found she had given us false information regarding the email addressee of the company involved.. So have not been able to take our complanit any further ,"Taupo, New Zealand","maryan_ray</div><div class=""userLoc""><strong>Taupo, New Zealand</strong>",8,4.0
678025463,https://www.tripadvisor.com/Hotel_Review-g60982-d114031-Reviews-Waikiki_Beachcomber_by_Outrigger-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Beachcomber by Outrigger,"June 1, 2019",We have just returned home from spending a fun filled 9 days in beautiful Waikiki and staying at Beachcomber by Outrigger. Hotel was great very friendly staff and rooms where clean & comfortable. My best experience though was with Malia Akiona who was on the concierge counter. Malia was so friendly and so very helpful that we would find a reason just to go talk to her. Nothing was a hassle or problem and was always so happy to answer our questions or help organise our days. Malia made my stay that more special as I have come away with a friend and will miss our daily talks.,"Peakhurst, Australia","Road749300</div><div class=""userLoc""><strong>Peakhurst, Australia</strong>",5,5.0
751366035,https://www.tripadvisor.com/Hotel_Review-g60982-d114031-Reviews-Waikiki_Beachcomber_by_Outrigger-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Beachcomber by Outrigger,"March 18, 2020","Perfect location, beautiful room with well appointed amenities. Very difficult to find any fault worth mentioning. Amazing view from our room on the 19th floor (deluxe ocean view room). Thank you Beachcomber.","Melbourne, Australia","manueltX1606AW</div><div class=""userLoc""><strong>Melbourne, Australia</strong>",0,5.0
751346529,https://www.tripadvisor.com/Hotel_Review-g60982-d114031-Reviews-Waikiki_Beachcomber_by_Outrigger-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Beachcomber by Outrigger,"March 18, 2020",Kristina works in reception and she was so kind and helpful. She made the beginning of my trip quite pleasant. She’s a great asset to the hotel. The hotel has great value as well and is right in the middle of Waikiki.,"Hollywood, California","devinamurao</div><div class=""userLoc""><strong>Hollywood, California</strong>",1,5.0
751269969,https://www.tripadvisor.com/Hotel_Review-g60982-d114031-Reviews-Waikiki_Beachcomber_by_Outrigger-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Beachcomber by Outrigger,"March 17, 2020",We spent a week at the Waikiki Beachcomber and was very impressed with this hotel. The rooms were tastefully decorated and quite large. We asked for a partial ocean view and that is what we got. The people at the front desk were very helpful and friendly. Check in and out was smooth and efficient. We really enjoyed the pool. The location was great—just minutes from the beach and right next door to the new International Marketplace. I would definitely recommend this hotel. ,"Salmon Arm, Canada","Lynn E</div><div class=""userLoc""><strong>Salmon Arm, Canada</strong>",5,4.0
751246868,https://www.tripadvisor.com/Hotel_Review-g60982-d114031-Reviews-Waikiki_Beachcomber_by_Outrigger-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Beachcomber by Outrigger,"March 17, 2020","I stayed at the Beachcomber from March 7 - 15 and the hotel is great. Right from the bellhop you the front desk staff to the maids, everyone made me feel welcome. Because tourism is quite low on the island due to Coronavirus, all staff seem to be going out of their way to express their gratitude for the visit.The location is as close to everything you can ask for and the rooms are comfortable. Even being so central, I was concerned about the potential for noise, but generally the nights were quite peaceful. (Much quieter than other hotels I have been at on higher floors) Next time I am in Honolulu, I will definitely keep this hotel in mind!","Edmonton, Canada","pv-riu-fan</div><div class=""userLoc""><strong>Edmonton, Canada</strong>",24,4.0
751178990,https://www.tripadvisor.com/Hotel_Review-g60982-d114031-Reviews-Waikiki_Beachcomber_by_Outrigger-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Beachcomber by Outrigger,"March 17, 2020","What an absolutely amazing experience and stay at the Waikiki Beachcomber, great central location, great views over Waikiki beach and Diamond Head from our balcony. Very friendly and helpful staff, the best experience we have ever experienced from all staff. We highly recommend the Waikiki Beachcomber for anyone that wants to stay in a great central location, we stayed in a ocean view room on the front of the building which offered fantastic views. ","Sydney, Australia","johncathys</div><div class=""userLoc""><strong>Sydney, Australia</strong>",25,5.0
751161677,https://www.tripadvisor.com/Hotel_Review-g60982-d114031-Reviews-Waikiki_Beachcomber_by_Outrigger-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Beachcomber by Outrigger,"March 16, 2020","The hotel, staff, Katzu made our wedding day stay a memorable time. We received excellent customer service from everyone. I greatly recommend this hotel for all sorts of occasions. I will book at this hotel for our next events and relaxation time.. Thank you Waikiki Beach comber.",,mariajasonp,0,5.0
751146520,https://www.tripadvisor.com/Hotel_Review-g60982-d114031-Reviews-Waikiki_Beachcomber_by_Outrigger-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Beachcomber by Outrigger,"March 16, 2020","Had the chance to stay here for two weeks, best time ever! The hotel staff was some of the friendliest I have ever encountered! Our stay started out great when Kiana, the front desk manager, and Joy, front desk, checked us in. They made sure our stuff got up to our room and got us set up for our stay. Our room was amazing with a great ocean view. Arsenia and Myna from Housekeeping left notes in our room saying ""Aloha"", or just wishing us a great day. Even the valets welcomed us back by name each afternoon when we got back to the hotel. The location is right in the heart of Waikiki, so everything is right near you, but you don't always need to leave the hotel. We spent two amazingly lazy Saturdays hanging out at the pool while the staff at Hawaiian Aroma Caffe brought us coffee and breakfast in the morning, then food and cocktails for the rest of the day! We were totally spoiled! Cannot wait for our next trip!!!",,SEA_HNLScott,0,5.0
750333688,https://www.tripadvisor.com/Hotel_Review-g60982-d114031-Reviews-Waikiki_Beachcomber_by_Outrigger-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Beachcomber by Outrigger,"March 10, 2020","So I’m from Atlanta, Ga and came for a 5 days. I absolutely loooooooved my stay! Kiana the front desk manager, was so accommodating and Jenny was the front desk rep that helped me get settled in as well. I’d give them both 12 stars! And yes I’m a real guest that stayed. You’re right in the middle is EVERYTHING if you stay here. Make sure you get the daily breakfast to save money. All the housekeeping staff were amazing and very sweet! Also, for attractions and events you MUST talk to MALIA !!! She is well respected and knows every part of this island!",,Chrisjeremy,0,5.0
