review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752142487,https://www.tripadvisor.com/Hotel_Review-g60982-d534764-Reviews-Waikiki_Resort_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Resort Hotel,"April 1, 2020","We enjoyed our 10 nights at the Waikiki Resort. It is centrally located in Waikiki and only a half block walk from the beach. The room was clean, we had a partial view of the beach, the breakfast was good and the staff all very friendly and helpful. In addition it was well priced and for us offered excellent value for money.","Canberra, Australia","ddmmcc2018</div><div class=""userLoc""><strong>Canberra, Australia</strong>",2,4.0
734800412,https://www.tripadvisor.com/Hotel_Review-g60982-d534764-Reviews-Waikiki_Resort_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Resort Hotel,"December 26, 2019","This was our second stay at the Waikiki Resort Hotel. We booked the 1 Bedroom Penthouse Suite. 3 adults and one teenager. The one bedroom was occupied by 2 adults and the open plan living room was occupied by one adult and one teenager. The living room was big enough to have 2 single roll-in beds (with comfy mattresses) a sofa, sitting chair and dining table for 4. This room also has a kitchenette, stove top, fridge, microwave and pod coffee machine. Our room had ocean views, and a 10 metre balcony which was awesome. This hotel is literally a minutes walk to the beach. We love the service and the staff are always smiling and friendly. Highly recommend for anyone and families. Down stairs you can have an American style buffet breakfast, which we enjoyed on quite a few occasions.","Sydney, Australia","Team2Sons</div><div class=""userLoc""><strong>Sydney, Australia</strong>",54,5.0
752007551,https://www.tripadvisor.com/Hotel_Review-g60982-d534764-Reviews-Waikiki_Resort_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Resort Hotel,"March 29, 2020","Thoroughly enjoyed my stay at the hotel, the Lady who checked us in was soo lovely she was a pleasure to talk to. Room was big a bit old but clean and comfortable. The buffet breakfast was just next level,a lot of choices and beautifully cooked, it was the best thing about this hotel that and the location. Location was awesome you are 50 meters from beach and almost in the middle of everything. Can not wait to come back!","Leppington, Australia","4571Muzza</div><div class=""userLoc""><strong>Leppington, Australia</strong>",0,5.0
751929383,https://www.tripadvisor.com/Hotel_Review-g60982-d534764-Reviews-Waikiki_Resort_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Resort Hotel,"March 27, 2020","Thank you very much for staying open during these hard times. Your employee's do such a great job in being very clean. Even tho my stay was for overnight, the staff made me feel welcomed to stay longer. Thanks. ","Honolulu, Hawaii","Toyo_808</div><div class=""userLoc""><strong>Honolulu, Hawaii</strong>",0,5.0
751587311,https://www.tripadvisor.com/Hotel_Review-g60982-d534764-Reviews-Waikiki_Resort_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Resort Hotel,"March 21, 2020",The hotel was value for money and a stones throw from the beach and the main drag. The rooms were kept clean and there were plenty of hand sanitisers available due to the coronavirus. The breakfast could have varied a bit more but is was still value for money but they never got my wide gluten free bread despite being asked on day 1 of our visit.,"Perth, Australia","Kevin F</div><div class=""userLoc""><strong>Perth, Australia</strong>",10,4.0
751572528,https://www.tripadvisor.com/Hotel_Review-g60982-d534764-Reviews-Waikiki_Resort_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Resort Hotel,"March 21, 2020",This is our second stay here and once again our stay was awesome. From starting our booking with Sherry and always a pleasure to deal with Suzette. To dealing with Brandon when we arrive at the counter our experience here is wonderful. Having the rental car in the lobby is a very convenient addition. The Seoul Jung restaurant has a great barbecue. And the ilima cafe for their buffet breakfast and the Ramen for lunch. I can’t say enough good things about the Waikiki resort. Can’t wait for our next stay.,"Columbus, Ohio","JimJanT</div><div class=""userLoc""><strong>Columbus, Ohio</strong>",0,5.0
751498660,https://www.tripadvisor.com/Hotel_Review-g60982-d534764-Reviews-Waikiki_Resort_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Resort Hotel,"March 20, 2020","Stayed here with our tour group, arriving a day early on our own. Price seemed reasonable for 2nd row from the ocean and we booked a high floor with partial view. Even on the higher floor there is a lot of street noise but it is a city and that is what you often get. (single pane glass seems to be the norm in Hawaii) Room had a balcony with 2 chairs and we could watch the surfers all day! Bed and pillows were acceptable and there was coffee and teabags. Bathroom was typical motel set-up with sink outside of shower/toilet area. Main suggestion is they need to do a deep cleaning asap in the rooms and some of the public areas. With so many choices you might find something a bit better for similar price.",New Jersey,"grandeb</div><div class=""userLoc""><strong>New Jersey</strong>",78,4.0
751163322,https://www.tripadvisor.com/Hotel_Review-g60982-d534764-Reviews-Waikiki_Resort_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Resort Hotel,"March 16, 2020","Good location Room large & comfortable with balconyOur room was serviced every day Friendly staffNice swimming poolSelf laundry reasonably pricedHowever, our room being on street side was noisy through the night, we were on the 6th floor and 2 of the nights we had people screaming & swearing on the street below, another night a laundry truck idling for half an hour at midnight as he noisily put laundry into his truck. Also one of the lifts was constantly breaking down.Otherwise a good stay.","Rotorua, New Zealand","NatalieA2138</div><div class=""userLoc""><strong>Rotorua, New Zealand</strong>",0,4.0
750652903,https://www.tripadvisor.com/Hotel_Review-g60982-d534764-Reviews-Waikiki_Resort_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Resort Hotel,"March 12, 2020","We have stayed at this Hotel 3 times in the past and it has always been an enjoyable stay. Room prices are reasonable, hotel is in close proximity to Waikiki Beach (<100 yds), shopping is all around, parking is available, restaurants are everywhere, as are shuttles to and from the airport. During our last stay we encountered some medical issues on our last day, which required an extended stay. Staff member Connor and manager Vicki were very helpful, allowing us to extend our stay and keep our same room on a day by day basis. We have always found this hotel to be very helpful, everyone from desk staff, housekeeping and bellhop. I would highly recommend this hotel if planning a stay in Waikiki.",,Adventurer108288,0,5.0
750611757,https://www.tripadvisor.com/Hotel_Review-g60982-d534764-Reviews-Waikiki_Resort_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Resort Hotel,"March 12, 2020","I have stayed at the Waikiki Resort Hotel several times now. The service is always great, the staff is very friendly. I have noticed over time, the room furnishings are looking a little tired, a little sanding and refinishing would go a long way. Also, you have a day spa and it is not promoted, it should be, I was wanting to see what they had to offer, when I went to check mid-day, they were closed and I didn't go back.",,ptbollen,0,4.0
