review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
752864503,https://www.tripadvisor.com/Hotel_Review-g60982-d87149-Reviews-Waikiki_Sand_Villa_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Sand Villa Hotel,"April 23, 2020",This hotel needs a face lift in the inside but I liked my room overall. I liked the convenience of the location and that there was a restaurant in the building. All the rooms have a balcony and a view of the canal. The hotel is in the heart of Waikiki. The gym is run down and needs work. The pool and hot tub is a perk and a high light. There is free parking on the street and valet at the hotel. It is hard to get the free parking on the street but its possible. ,"Queens, New York","kryssykrys</div><div class=""userLoc""><strong>Queens, New York</strong>",17,4.0
727130337,https://www.tripadvisor.com/Hotel_Review-g60982-d87149-Reviews-Waikiki_Sand_Villa_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Sand Villa Hotel,"November 17, 2019","I just returned home from a 9 day stay at Waikiki Sand Villa. I am a budget traveler so finding a room in central Waikiki under $200/night is a challenge. But Sand Villa ticks all my boxes, and then some. Their pool area is nicer than many of the fancy places. Because I stayed a week I got the buffet breakfast free each morning, and free shuttle from and back to the airport (they contract with Robert's). Also free Star Advertiser (local newspaper) available in the lobby each morning. Pool/beach towels available by honor check out on the hospitality floor.The staff was amazing, in all parts of the hotel operation... front desk, bar/restaurant, maids, maintenance, everyone was welcoming and friendly. I knew from one previous stay that it can be noisy from the traffic along the Ala Wai canal, so did pay a small amount more to be up higher in the building (that's how their room categories go, on the 8th floor, and where I saw sunrise over the canal each morning. The room was perfect for me. I was solo and with a comfy king bed. Decent linens and towels. Everything kept very clean. I used the undercounter frig. There is also a coffee maker, but I just went down and had breakfast on the patio each morning.I walked around for a look/see at the other hotels that had been on my list of possibilities but none, in that price range, beat what I found at Sand Villa. They give a 10% discount coupon for return visitors with no expiration date. They will see me again the next time I'm in Waikiki.Will try to add a few photos, but the ones on their website are accurate. Feel free to PM me thru TA if you have any questions about this wonderful place to stay.",Seattle,"suze2you</div><div class=""userLoc""><strong>Seattle</strong>",64,5.0
744759858,https://www.tripadvisor.com/Hotel_Review-g60982-d87149-Reviews-Waikiki_Sand_Villa_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Sand Villa Hotel,"February 12, 2020","About three blocks from the beach, this hotel is clean, and the lobby has the right amount of Hawaiian charm. The Ala Wai canal is very walkable and just across the street. Staff is friendly and helpful. Hotel could use a bit of fresh paint. Stores and restaurants are nearby. Bus stops are conveniently a block away. There is a secluded 70' pool, nice jacuzzi, and foot spa. The hotel supplies hand soap,shampoo, and body wash from soap dispensers. Bring your own bar soap, if you are particular about your shampoo bring your own. Don't forget your conditioner. Hotel has a bar plus a restaurant. When we've seen resort fees from $17 to $50/day at other hotels, this great hotel chooses not to charge a resort fee--a refreshing change!","Vista, California","Gilbert00</div><div class=""userLoc""><strong>Vista, California</strong>",104,5.0
743990821,https://www.tripadvisor.com/Hotel_Review-g60982-d87149-Reviews-Waikiki_Sand_Villa_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Sand Villa Hotel,"February 9, 2020","I chose this hotel based on multiple recommendations in the ""stickies"", which, if you use a phone or tablet, you may not even know exist. This is an older property and a bit of a hike to the beach (10-15 minutes), about 6 minutes to the International Market Place, and various restaurants. There is a bar and grill on site with not one, but two, happy hours!. The staff is 5* friendly and helpful. There is a nice mix of locals and guests in the bar, and usually some lively conversation. I watched the Super Bowl here, and thought the drinks and food were good, especially the ahi poke bowl..My room was clean, there were two waters and two guava juices in the fridge (complimentary) and a nice two mug coffee maker and kona blend coffee. The amenities are, unfortunately, in the newly mandated bulk style. Bathroom is small but OK, no grab bar in tub. Lighting just OK. The lighting in the room itself is good, especially the sliding door to the balcony! Also bedside lamps, one over the table, and a stray floor lamp that was not plugged in that I guess you could move to where needed. There is no available outlet at the head of the bed, but a completely free four outlet fixture by the table. I had no problems with the free wifi and my phone automatically connected when I walked back to the property. I think it's a first that I only had to log on once in five days!The pool is very nice, and they have a foot spa, which I didn't use. Rumor has it there's a fitness center, and there's a self service laundry on the second floor.This room would be a definite squeeze for 4 people. Two cons: skip the breakfast buffet--it costs $12.57 and is on par with the free breakfasts that, for example, the Choice Hotel chains offer. (Instead walk to the Kona Coffee Purveyor next to the International Market Place, Kuhio Ave entrance.) Also, I never did see a towel at the pool towel dispensary box (but I didn't go ask for one either).If you're looking for upscale, a special occasion trip, or a ""heart of the action"" place, look elsewhere. As a solo traveler it fit the bill and I wouldn't hesitate to return.","Wichita, Kansas","skipaway</div><div class=""userLoc""><strong>Wichita, Kansas</strong>",77,4.0
743443952,https://www.tripadvisor.com/Hotel_Review-g60982-d87149-Reviews-Waikiki_Sand_Villa_Hotel-Honolulu_Oahu_Hawaii-or0.html?filterLang=en,Waikiki Sand Villa Hotel,"February 6, 2020","Second time at this hotel, and with the construction going on they upgraded our room. Pool and hot tub are available for hotel guests until 9pm, and the foot spa is open until midnight. Free breakfast is something that is almost unheard of in Waikiki, so that is an added bonus. Coffee is great! If booked directly through them, car parking is half priced, and if booked 4 nights or longer, free shuttle to and from the airport. Think i have found my new go to hotel when on island.",,chellav94,0,4.0
736275251,https://www.tripadvisor.com/Hotel_Review-g60982-d87149-Reviews-Waikiki_Sand_Villa_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Sand Villa Hotel,"January 2, 2020","My husband and I have stayed at this hotel at least 5 times.While it is not on the beach, it is only 3 blocks away. It is unassuming but clean and safe. We are really active, and we’ve been to Waikiki many times. So we don’t fit the “normal”tourist. We don’t need a lot from a hotel, but every request we have is always treated with respect and taken care of immediately.Why we like it:We like to walk up diamond head every day and it’s a perfect distanceIt’s close to surfing on Waikiki beachWe like to walk or bus to ala moana to swim every dayIt does not have a “resort fee”If you book through the hotel and stay for 3 or 4 days (I forget which) you get breakfastThe staff is extremely nice and helpfulThe staff is personableWe really like the staff!!The rooms are cleanNice pool and hot tubVery safe locationShuttle from the airport included (however, if you have oversized luggage - like bikes, surf board, etc-there is an extra charge from the bus company)Did I mention that the staff is awesome?It is not fancy but it works.It’s far enough away from the “busy”ness of kalakaua and kuhio. Close enough to both those streets to be convenient.What we don’t likeI can’t think of anythingI you want to pay more for super fancy, go somewhere else. If you want an amazing staff, clean, safe and affordable this is the place!Aloha!","Seattle, Washington","Surfergirljenn</div><div class=""userLoc""><strong>Seattle, Washington</strong>",1,5.0
736119183,https://www.tripadvisor.com/Hotel_Review-g60982-d87149-Reviews-Waikiki_Sand_Villa_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Sand Villa Hotel,"January 1, 2020","I was lucky enough to return here in November for a brief stay. The hotel was as welcoming as ever. Lots of international visitors. Great happy hour with food and drink specials, too. Complimentary shuttle to and from the airport is an included perk.My room was comfy and had a nice view of Ali Wai canal and the mountains. The pool was a nice spot to unwind after a busy day out and about. Breakfast was included, both Asian and US dishes. I loved the miso broth. The in-room fridge and coffee maker were much appreciated, too.The hotel is classic mid-century design, in a neighborhood filled with architectural delights. It's just a quick stroll to Kalakua Avenue and the beach, and TheBus stops right around the corner.Also used One's Car Rental, which is on the premises. Fine car, no issues, fair prices.I look forward to a return trip in the future.","Los Angeles, California","Kittygal</div><div class=""userLoc""><strong>Los Angeles, California</strong>",245,5.0
733699837,https://www.tripadvisor.com/Hotel_Review-g60982-d87149-Reviews-Waikiki_Sand_Villa_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Sand Villa Hotel,"December 19, 2019","I was happy with this hotel as far as price, location, check in and employees at the front desk. I would have given them a higher rating. However, we asked an employee ( a male) who appeared to be pushing a laundry cart through the lobby for directions to the double decker tour bus stop. He did not even attempt to be helpful. As we turned to get on the elevator. He turned to another male employee and referred to us by what is known a a derogatory name for tourists in Hawaiian. The tone he used and the rolling of his eyes made it clear that it was intended as an insult. He then got on the elevator with us. The term he used was 'haole'. It is a word arising from a distrust of foreigners or outsiders (a term used in Hawaii to refer to a white person.) I made a point of making sure he knew before I walked away that I knew exactly what the word meant and that he was rude and the name calling was totally inappropriate. He made no attempt to apologize. Just smirked and walked away. I will not stay here again and will not recommend this place to others. The elevators were also not working properly the day we stayed. There was a very long wait.",,GrandTour18338788115,1,3.0
731438211,https://www.tripadvisor.com/Hotel_Review-g60982-d87149-Reviews-Waikiki_Sand_Villa_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Sand Villa Hotel,"December 8, 2019","For the price, this hotel was amazing. if you want somewhere in a great location, walkable distance to central Waikiki, and still want the hotel experience (pool, jacuzzi, valet etc), don't hesitate to book here. We booked through the website and got super cheap valet parking and free breakfast and free airport transport. The view of the canal was nice too, and we got to sit on little balcony as well. The rooms are a little bit dated, but for the price, it is amazing value.",,hellencL7873BP,0,5.0
725773500,https://www.tripadvisor.com/Hotel_Review-g60982-d87149-Reviews-Waikiki_Sand_Villa_Hotel-Honolulu_Oahu_Hawaii-or5.html?filterLang=en,Waikiki Sand Villa Hotel,"November 11, 2019","Waikiki sand villa is one of those secrets tips in Honolulu if your looking for a good deal and still want the hotel experience. The pool is great , the staff is very friendly and professional. The location is great. Right on the canal and if you ask for a corner suit you get a view of Diamond Head. Big palms right outside your window. The ac works very well. Medium size fridge ,coffee maker and a Japanese Toilet. The breakfast is included if you book direct with the hotel. I would recommend that for sure they always have deals. Also the hotel has one of those smaller rental car outlets in the lobby that offer great rates . Let me tell everyone that is a big deal because rental cars are expensive in Honolulu. The hotel is in walking distance (5min) to Waikiki beach.Also lots of shopping around for food and everything else you need. Hawaii is a dream vacation so much so that a affordable hotel can make all the difference if you can go our not, so everyone have a great stay. Aloha",,Nick N,1,4.0
