review_id,url,hotel_name,review_date,review_body,user_location,user_name,helpful_vote,rating
753548230,https://www.tripadvisor.com/Hotel_Review-g60763-d2622936-Reviews-Wyndham_Garden_Chinatown-New_York_City_New_York-or0.html?filterLang=en,Wyndham Garden Chinatown,"May 15, 2020","Sean and the entire team at Wyndham Garden are the utmost hospitality professionals. Attentive, genuine, helpful, charming, and all sincerely kind. I’ve stayed here numerous times but recently just as the quarantine was hitting NYC. The staff were so accommodating and calm. I’m a huge fan and will sing their praises to Wyndham corporate until they cough up some bonuses for this incredible hospitality squad that represents the true meaning of warm hearted generous service. And are an amazingly beautiful representatives for Wyndham.","McDonough, Georgia","JosephGA33</div><div class=""userLoc""><strong>McDonough, Georgia</strong>",0,5.0
752357676,https://www.tripadvisor.com/Hotel_Review-g60763-d2622936-Reviews-Wyndham_Garden_Chinatown-New_York_City_New_York-or0.html?filterLang=en,Wyndham Garden Chinatown,"April 7, 2020","My boyfriend and I really needed a staycation during this Covid19 crisis and this property did not disappoint. The front desk upgraded us to a room with an amazing skyline view and couldn't be more accomodating. We were so happy, in fact, that we extended our stay for an additional night. Kudos to the front desk staff who were extremely helpful and asking if we needed anything any time we were in the lobby. Much gratitude to the cleaning staff and housekeeping staff who kept the building immaculate and also provided extra towels and pillows. If you find yourself in NYC, this hotel is a real treat. The view from our room (1604) is nothing short of amazing. NYC is going through some trying times and Chinatown has been hit especially hard. If you have a chance to visit the city, this Wyndham property is a gem you won't want to miss...the location is fantastic for getting around the city and the staff makes this place a real standout.",,Bunnymomnyc,0,5.0
751917737,https://www.tripadvisor.com/Hotel_Review-g60763-d2622936-Reviews-Wyndham_Garden_Chinatown-New_York_City_New_York-or0.html?filterLang=en,Wyndham Garden Chinatown,"March 27, 2020","Sean Sy, front desk MOD at the time of my brief visit, was very kind. I have stayed in hundreds of hotels over the years, including this particular one. Anyway, was in the neighborhood and needed a place to sit and charge my phone for 15 minutes this afternoon. Sean was very welcoming and accommodating,and I thank him and Wyndham for the hospitality.Jeff Yeck3476709093","New York City, New York","Jeffrey Y</div><div class=""userLoc""><strong>New York City, New York</strong>",5,5.0
751906573,https://www.tripadvisor.com/Hotel_Review-g60763-d2622936-Reviews-Wyndham_Garden_Chinatown-New_York_City_New_York-or0.html?filterLang=en,Wyndham Garden Chinatown,"March 27, 2020","Lovely view from the 10th floor and the front desk manager Sean helped me out in a time of panic. Very clean, safe and the views are amazing. Floor to ceiling windows make it possible to view the skyline as you fall asleep. Excellent location away from tourist mania of Time Square with all the best restaurants, SoHo and the LES at your doorstep.",,Kat B,2,4.0
751257937,https://www.tripadvisor.com/Hotel_Review-g60763-d2622936-Reviews-Wyndham_Garden_Chinatown-New_York_City_New_York-or0.html?filterLang=en,Wyndham Garden Chinatown,"March 17, 2020","Absolutely loving staff service. This is my second time staying in Wyndham, their services never fail to amaze me! Totally would recommend. Lovely view of the New York City, the ramen place downstairs is absolutely delicious.",,Kyletlew2,0,5.0
751134939,https://www.tripadvisor.com/Hotel_Review-g60763-d2622936-Reviews-Wyndham_Garden_Chinatown-New_York_City_New_York-or5.html?filterLang=en,Wyndham Garden Chinatown,"March 16, 2020","It was a quick getaway for us which we were happy to experience. We stayed at the Wyndham in the lower east side. The staff was so friendly and personable, not like most hotels we frequent. They were so helpful with local restaurants and our car service to and from the hotel. I guess the one item that stands out is how often they were cleaning all areas when we were in the lobby. Its reassuring in retrospect and most appreciated. We hope to visit again soon.","Little Rock, Arkansas","mccrackenphillip</div><div class=""userLoc""><strong>Little Rock, Arkansas</strong>",0,5.0
750744789,https://www.tripadvisor.com/Hotel_Review-g60763-d2622936-Reviews-Wyndham_Garden_Chinatown-New_York_City_New_York-or5.html?filterLang=en,Wyndham Garden Chinatown,"March 13, 2020","We love the Wyndham Garden Chinatown and we're planning on staying there again in our upcoming visit, but we had to cancel due to the virus. The Guest Services Manager Sean Sy helped us reschedule our stay and provided kind, excellent service. He's one of the reasons we love staying there, besides the modern rooms and amenities, and coonvenient location. Just wanted to hop on here and thank him personally. ","Los Angeles, California","kaylawriting</div><div class=""userLoc""><strong>Los Angeles, California</strong>",1,5.0
750629001,https://www.tripadvisor.com/Hotel_Review-g60763-d2622936-Reviews-Wyndham_Garden_Chinatown-New_York_City_New_York-or5.html?filterLang=en,Wyndham Garden Chinatown,"March 12, 2020",I'm finally getting the opportunity to express my thanks to the entire team which took exceptional care of our group. It was great of everyone to pull in together and accommodate us with the early arrival. The reception desk never said no to any of our needs.,"Washington DC, District of Columbia","zhanggeorge418</div><div class=""userLoc""><strong>Washington DC, District of Columbia</strong>",0,5.0
749534942,https://www.tripadvisor.com/Hotel_Review-g60763-d2622936-Reviews-Wyndham_Garden_Chinatown-New_York_City_New_York-or5.html?filterLang=en,Wyndham Garden Chinatown,"March 6, 2020","Hotel is in a prime location Lower Eastside of Manhattan. Very convenient to dining and shopping. Hotel staff is wonderful and the rooftop bar is amazing! Rooms have great views of the City, and some have balconies. Will definitly stay here again.","Vineland, New Jersey","Jared R</div><div class=""userLoc""><strong>Vineland, New Jersey</strong>",0,5.0
748727792,https://www.tripadvisor.com/Hotel_Review-g60763-d2622936-Reviews-Wyndham_Garden_Chinatown-New_York_City_New_York-or5.html?filterLang=en,Wyndham Garden Chinatown,"March 2, 2020","I stay here frequently and really enjoy it. The staff, Sean and all the team, are very kind and take great care of me. The rooms are very smartly designed and appointed. The location is very convenient to all downtown spots - financial district, soho, lower east side, etc.","Baltimore, Maryland","LouCMillerIV</div><div class=""userLoc""><strong>Baltimore, Maryland</strong>",4,5.0
